,dataset,model,fold,structural_characteristic,is_member,spearman,mae
0,A2RQE2_9CELL,Residue agnostic regressor,0,is_buried,0,0.645157075673168,0.2247350782216247
1,A2RQE2_9CELL,Partial least squares,0,is_buried,0,0.6460258149818197,0.27117355172162005
2,A2RQE2_9CELL,Augmented Potts,0,is_buried,0,0.7012124325071949,0.21957058053664108
3,A2RQE2_9CELL,RITA regressor,0,is_buried,0,0.40129831309755515,0.3113820661504551
4,A2RQE2_9CELL,Residue agnostic regressor,1,is_buried,0,0.7369222069862733,0.21276500397372597
5,A2RQE2_9CELL,Partial least squares,1,is_buried,0,0.7358631762799501,0.2688430093092769
6,A2RQE2_9CELL,Augmented Potts,1,is_buried,0,0.7442359076308391,0.21906727412680926
7,A2RQE2_9CELL,RITA regressor,1,is_buried,0,0.44751351779027587,0.319413615878107
8,A2RQE2_9CELL,Residue agnostic regressor,2,is_buried,0,0.7501174943710999,0.1763368461070967
9,A2RQE2_9CELL,Partial least squares,2,is_buried,0,0.7516761489317401,0.2226324654521286
10,A2RQE2_9CELL,Augmented Potts,2,is_buried,0,0.6729655661821514,0.22077527221731663
11,A2RQE2_9CELL,RITA regressor,2,is_buried,0,0.38505098127670767,0.27935956073167917
12,A2RQE2_9CELL,Residue agnostic regressor,3,is_buried,0,0.7120103031978865,0.2049658265051763
13,A2RQE2_9CELL,Partial least squares,3,is_buried,0,0.7107566882713169,0.2497128847752143
14,A2RQE2_9CELL,Augmented Potts,3,is_buried,0,0.7498684956862167,0.20638346478847794
15,A2RQE2_9CELL,RITA regressor,3,is_buried,0,0.28126878094657837,0.32152359003623215
16,A2RQE2_9CELL,Residue agnostic regressor,4,is_buried,0,0.7726444928660041,0.2069751053209352
17,A2RQE2_9CELL,Partial least squares,4,is_buried,0,0.7735525189009036,0.26389009173132993
18,A2RQE2_9CELL,Augmented Potts,4,is_buried,0,0.7448115766136563,0.2127695800535987
19,A2RQE2_9CELL,RITA regressor,4,is_buried,0,0.41534872970457637,0.3192952432450958
20,A2RQE2_9CELL,Residue agnostic regressor,5,is_buried,0,0.7551355528338056,0.19767354114253194
21,A2RQE2_9CELL,Partial least squares,5,is_buried,0,0.7553892053424472,0.2573432375186476
22,A2RQE2_9CELL,Augmented Potts,5,is_buried,0,0.7764702098997722,0.19727994225870382
23,A2RQE2_9CELL,RITA regressor,5,is_buried,0,0.4935673885984222,0.29766016296808434
24,A2RQE2_9CELL,Residue agnostic regressor,6,is_buried,0,0.7000299028434641,0.20351687493546575
25,A2RQE2_9CELL,Partial least squares,6,is_buried,0,0.6972396179494449,0.24327947420139948
26,A2RQE2_9CELL,Augmented Potts,6,is_buried,0,0.6907361477366458,0.2066856965624292
27,A2RQE2_9CELL,RITA regressor,6,is_buried,0,0.3894214087633832,0.30736540136632173
28,A2RQE2_9CELL,Residue agnostic regressor,7,is_buried,0,0.6746223570384803,0.2177022938620749
29,A2RQE2_9CELL,Partial least squares,7,is_buried,0,0.6745826739883214,0.26251930864991596
30,A2RQE2_9CELL,Augmented Potts,7,is_buried,0,0.6790806389944377,0.22278870373742582
31,A2RQE2_9CELL,RITA regressor,7,is_buried,0,0.42694152439355765,0.30311861961634357
32,A2RQE2_9CELL,Residue agnostic regressor,8,is_buried,0,0.7298564052432038,0.19538558937523345
33,A2RQE2_9CELL,Partial least squares,8,is_buried,0,0.7301209870252461,0.2454914309999748
34,A2RQE2_9CELL,Augmented Potts,8,is_buried,0,0.7009963552779586,0.20652546123821441
35,A2RQE2_9CELL,RITA regressor,8,is_buried,0,0.4559565562107467,0.28439631186333186
36,A2RQE2_9CELL,Residue agnostic regressor,9,is_buried,0,0.7743414352638627,0.18698989705606184
37,A2RQE2_9CELL,Partial least squares,9,is_buried,0,0.7737810018279035,0.23799222793751357
38,A2RQE2_9CELL,Augmented Potts,9,is_buried,0,0.7644369101387393,0.18806958628472534
39,A2RQE2_9CELL,RITA regressor,9,is_buried,0,0.3891257291459079,0.3042671516687169
40,A2RQE2_9CELL,Residue agnostic regressor,0,is_buried,1,0.6116539559470285,0.16741145754426992
41,A2RQE2_9CELL,Partial least squares,0,is_buried,1,0.6136454028485241,0.21261155571232587
42,A2RQE2_9CELL,Augmented Potts,0,is_buried,1,0.7011422766000912,0.1665812336447206
