,dataset,model,fold,structural_characteristic,is_member,spearman
0,AMY_BACSU,Residue agnostic regressor,0,is_buried,0,0.4442115870984308
1,AMY_BACSU,Partial least squares,0,is_buried,0,0.44397996153469615
2,AMY_BACSU,Augmented Potts,0,is_buried,0,0.3546544659013357
3,AMY_BACSU,RITA regressor,0,is_buried,0,0.172476000904583
4,AMY_BACSU,Residue agnostic regressor,1,is_buried,0,0.4112623861663271
5,AMY_BACSU,Partial least squares,1,is_buried,0,0.41104918519826833
6,AMY_BACSU,Augmented Potts,1,is_buried,0,0.33604567771038774
7,AMY_BACSU,RITA regressor,1,is_buried,0,0.1972667822451891
8,AMY_BACSU,Residue agnostic regressor,2,is_buried,0,0.41533249642573533
9,AMY_BACSU,Partial least squares,2,is_buried,0,0.415612466227171
10,AMY_BACSU,Augmented Potts,2,is_buried,0,0.3494576698948363
11,AMY_BACSU,RITA regressor,2,is_buried,0,0.19988477096266594
12,AMY_BACSU,Residue agnostic regressor,3,is_buried,0,0.5035850666680444
13,AMY_BACSU,Partial least squares,3,is_buried,0,0.5030966526876273
14,AMY_BACSU,Augmented Potts,3,is_buried,0,0.41233918863658015
15,AMY_BACSU,RITA regressor,3,is_buried,0,0.26517148105147437
16,AMY_BACSU,Residue agnostic regressor,4,is_buried,0,0.44870554518032874
17,AMY_BACSU,Partial least squares,4,is_buried,0,0.44894248946762255
18,AMY_BACSU,Augmented Potts,4,is_buried,0,0.3481418989262697
19,AMY_BACSU,RITA regressor,4,is_buried,0,0.22159049701404918
20,AMY_BACSU,Residue agnostic regressor,5,is_buried,0,0.412104262209735
21,AMY_BACSU,Partial least squares,5,is_buried,0,0.41216921404533136
22,AMY_BACSU,Augmented Potts,5,is_buried,0,0.3265445176364201
23,AMY_BACSU,RITA regressor,5,is_buried,0,0.2340504445186917
24,AMY_BACSU,Residue agnostic regressor,6,is_buried,0,0.45541048656192434
25,AMY_BACSU,Partial least squares,6,is_buried,0,0.4554292454713579
26,AMY_BACSU,Augmented Potts,6,is_buried,0,0.3608098610869313
27,AMY_BACSU,RITA regressor,6,is_buried,0,0.2139373867852761
28,AMY_BACSU,Residue agnostic regressor,7,is_buried,0,0.45769509197720876
