,dataset,model,fold,structural_characteristic,is_member,spearman,mae
0,AMY_BACSU,Residue agnostic regressor,0,is_buried,0,0.4442115870984308,0.251592856185342
1,AMY_BACSU,Partial least squares,0,is_buried,0,0.44397996153469615,0.2503892333731266
2,AMY_BACSU,Augmented Potts,0,is_buried,0,0.3546544659013357,0.28985663667551653
3,AMY_BACSU,RITA regressor,0,is_buried,0,0.172476000904583,0.32053771959500804
4,AMY_BACSU,Residue agnostic regressor,1,is_buried,0,0.4112623861663271,0.22269876274831865
5,AMY_BACSU,Partial least squares,1,is_buried,0,0.41104918519826833,0.22288997312521353
6,AMY_BACSU,Augmented Potts,1,is_buried,0,0.33604567771038774,0.2494059061467597
7,AMY_BACSU,RITA regressor,1,is_buried,0,0.1972667822451891,0.28559563138921057
8,AMY_BACSU,Residue agnostic regressor,2,is_buried,0,0.41533249642573533,0.2798750718108028
9,AMY_BACSU,Partial least squares,2,is_buried,0,0.415612466227171,0.28824288758113586
10,AMY_BACSU,Augmented Potts,2,is_buried,0,0.3494576698948363,0.30974302850221574
11,AMY_BACSU,RITA regressor,2,is_buried,0,0.19988477096266594,0.34346310861641327
12,AMY_BACSU,Residue agnostic regressor,3,is_buried,0,0.5035850666680444,0.3087554173171347
13,AMY_BACSU,Partial least squares,3,is_buried,0,0.5030966526876273,0.3194947433313496
14,AMY_BACSU,Augmented Potts,3,is_buried,0,0.41233918863658015,0.3397235779256536
15,AMY_BACSU,RITA regressor,3,is_buried,0,0.26517148105147437,0.3793997167906327
16,AMY_BACSU,Residue agnostic regressor,4,is_buried,0,0.44870554518032874,0.2156535467147706
17,AMY_BACSU,Partial least squares,4,is_buried,0,0.44894248946762255,0.21649785601755464
18,AMY_BACSU,Augmented Potts,4,is_buried,0,0.3481418989262697,0.24197917550007017
19,AMY_BACSU,RITA regressor,4,is_buried,0,0.22159049701404918,0.27167776337779037
20,AMY_BACSU,Residue agnostic regressor,5,is_buried,0,0.412104262209735,0.25838026559625976
21,AMY_BACSU,Partial least squares,5,is_buried,0,0.41216921404533136,0.26686980731190263
22,AMY_BACSU,Augmented Potts,5,is_buried,0,0.3265445176364201,0.30553041761328387
23,AMY_BACSU,RITA regressor,5,is_buried,0,0.2340504445186917,0.32313088589928396
24,AMY_BACSU,Residue agnostic regressor,6,is_buried,0,0.45541048656192434,0.21646478675435887
25,AMY_BACSU,Partial least squares,6,is_buried,0,0.4554292454713579,0.2187710278625081
26,AMY_BACSU,Augmented Potts,6,is_buried,0,0.3608098610869313,0.2547731680855919
27,AMY_BACSU,RITA regressor,6,is_buried,0,0.2139373867852761,0.29269772947230827
28,AMY_BACSU,Residue agnostic regressor,7,is_buried,0,0.45769509197720876,0.1972119971285708
29,AMY_BACSU,Partial least squares,7,is_buried,0,0.45760502508545753,0.19601085712916397
30,AMY_BACSU,Augmented Potts,7,is_buried,0,0.3686267101504284,0.220213925392095
31,AMY_BACSU,RITA regressor,7,is_buried,0,0.172698495262861,0.26400887294782543
32,AMY_BACSU,Residue agnostic regressor,8,is_buried,0,0.47537243486508335,0.22062719820582394
33,AMY_BACSU,Partial least squares,8,is_buried,0,0.4751001941059193,0.2314617198883863
34,AMY_BACSU,Augmented Potts,8,is_buried,0,0.41138204312031573,0.26289553256319775
35,AMY_BACSU,RITA regressor,8,is_buried,0,0.22702328401369562,0.29138021205969183
36,AMY_BACSU,Residue agnostic regressor,9,is_buried,0,0.4007290298322969,0.21680170683306113
37,AMY_BACSU,Partial least squares,9,is_buried,0,0.40048472224922543,0.21516440403711665
38,AMY_BACSU,Augmented Potts,9,is_buried,0,0.3477592902315963,0.2644302909762956
39,AMY_BACSU,RITA regressor,9,is_buried,0,0.2184681135050073,0.29278149606429404
40,AMY_BACSU,Residue agnostic regressor,0,is_buried,1,0.6064092549530271,0.29983877848356183
41,AMY_BACSU,Partial least squares,0,is_buried,1,0.606295019254861,0.355059770578891
42,AMY_BACSU,Augmented Potts,0,is_buried,1,0.6624381774249066,0.28468724290979347
43,AMY_BACSU,RITA regressor,0,is_buried,1,0.3998493545222547,0.38569625337378666
44,AMY_BACSU,Residue agnostic regressor,1,is_buried,1,0.5172510428881124,0.32731110710780176
45,AMY_BACSU,Partial least squares,1,is_buried,1,0.5172073703313965,0.37929486475744406
46,AMY_BACSU,Augmented Potts,1,is_buried,1,0.5675770681881763,0.32394372865156307
47,AMY_BACSU,RITA regressor,1,is_buried,1,0.2999641257927424,0.41124582978806196
48,AMY_BACSU,Residue agnostic regressor,2,is_buried,1,0.6216252394532372,0.3807268988251785
49,AMY_BACSU,Partial least squares,2,is_buried,1,0.6209869063416937,0.4461869005813975
50,AMY_BACSU,Augmented Potts,2,is_buried,1,0.6507735344681509,0.3622120531232885
51,AMY_BACSU,RITA regressor,2,is_buried,1,0.4374259185729859,0.4634615919645315
