,dataset,model,fold,structural_characteristic,is_member,spearman,mae
0,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,0,is_buried,0,0.7528168031688264,0.2064518171862027
1,BLAT_ECOLX_Firnberg_2014,Partial least squares,0,is_buried,0,0.752745589932647,0.2712992165501152
2,BLAT_ECOLX_Firnberg_2014,Augmented Potts,0,is_buried,0,0.8773064707884675,0.16865091312478658
3,BLAT_ECOLX_Firnberg_2014,RITA regressor,0,is_buried,0,0.5590878537699017,0.3016141363680189
4,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,1,is_buried,0,0.7998359818187254,0.2011405521641638
5,BLAT_ECOLX_Firnberg_2014,Partial least squares,1,is_buried,0,0.8000459691350803,0.2735581876600871
6,BLAT_ECOLX_Firnberg_2014,Augmented Potts,1,is_buried,0,0.8605649799067911,0.1775766246451442
7,BLAT_ECOLX_Firnberg_2014,RITA regressor,1,is_buried,0,0.5488756366833486,0.3081728157212211
8,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,2,is_buried,0,0.753139116186198,0.21447869342461967
9,BLAT_ECOLX_Firnberg_2014,Partial least squares,2,is_buried,0,0.7533018629070127,0.2798892370535999
10,BLAT_ECOLX_Firnberg_2014,Augmented Potts,2,is_buried,0,0.8203676229134402,0.18814056587213554
11,BLAT_ECOLX_Firnberg_2014,RITA regressor,2,is_buried,0,0.4973260721871399,0.31575539523721935
12,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,3,is_buried,0,0.7181990075115701,0.2224646512824295
13,BLAT_ECOLX_Firnberg_2014,Partial least squares,3,is_buried,0,0.7183673434732586,0.2748735146988116
14,BLAT_ECOLX_Firnberg_2014,Augmented Potts,3,is_buried,0,0.8187663250204954,0.1880637129758769
15,BLAT_ECOLX_Firnberg_2014,RITA regressor,3,is_buried,0,0.431612202003558,0.3250192106098759
16,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,4,is_buried,0,0.7685320619711875,0.22167812112457075
17,BLAT_ECOLX_Firnberg_2014,Partial least squares,4,is_buried,0,0.768183885026072,0.2897274416536459
18,BLAT_ECOLX_Firnberg_2014,Augmented Potts,4,is_buried,0,0.8150831880713756,0.20472997669042828
19,BLAT_ECOLX_Firnberg_2014,RITA regressor,4,is_buried,0,0.5221306290718903,0.3115047473713835
20,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,5,is_buried,0,0.774689049107893,0.20027946042639383
21,BLAT_ECOLX_Firnberg_2014,Partial least squares,5,is_buried,0,0.7744537918082403,0.2714043117474896
22,BLAT_ECOLX_Firnberg_2014,Augmented Potts,5,is_buried,0,0.8081930939928216,0.18888049770036702
23,BLAT_ECOLX_Firnberg_2014,RITA regressor,5,is_buried,0,0.4740046947020442,0.3174080665216619
24,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,6,is_buried,0,0.8007742821637687,0.1768393027057336
25,BLAT_ECOLX_Firnberg_2014,Partial least squares,6,is_buried,0,0.8004997812066813,0.24796822633911672
26,BLAT_ECOLX_Firnberg_2014,Augmented Potts,6,is_buried,0,0.8412201250860142,0.17699702880763823
27,BLAT_ECOLX_Firnberg_2014,RITA regressor,6,is_buried,0,0.5281378042455216,0.28420256872415506
28,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,7,is_buried,0,0.836485128811322,0.19217843447355465
29,BLAT_ECOLX_Firnberg_2014,Partial least squares,7,is_buried,0,0.836454650131153,0.2749376995777015
30,BLAT_ECOLX_Firnberg_2014,Augmented Potts,7,is_buried,0,0.8433709777393746,0.1880926971847485
31,BLAT_ECOLX_Firnberg_2014,RITA regressor,7,is_buried,0,0.5290561987919715,0.31923099099755736
32,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,8,is_buried,0,0.7504275810109693,0.21799235585007354
33,BLAT_ECOLX_Firnberg_2014,Partial least squares,8,is_buried,0,0.7507439921108052,0.28418391511097557
34,BLAT_ECOLX_Firnberg_2014,Augmented Potts,8,is_buried,0,0.7835989214409786,0.2017389874825432
35,BLAT_ECOLX_Firnberg_2014,RITA regressor,8,is_buried,0,0.5424373418380262,0.3109007167361939
36,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,9,is_buried,0,0.7808172230769486,0.1967149401660383
37,BLAT_ECOLX_Firnberg_2014,Partial least squares,9,is_buried,0,0.7809851456049174,0.2684522975970394
38,BLAT_ECOLX_Firnberg_2014,Augmented Potts,9,is_buried,0,0.8322689806154095,0.18022866710332205
39,BLAT_ECOLX_Firnberg_2014,RITA regressor,9,is_buried,0,0.5166820275791315,0.3092124822093233
40,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,0,is_buried,1,0.7769554735171487,0.2131254312488668
41,BLAT_ECOLX_Firnberg_2014,Partial least squares,0,is_buried,1,0.7771934466900299,0.29376764448726844
42,BLAT_ECOLX_Firnberg_2014,Augmented Potts,0,is_buried,1,0.8700243960082307,0.19158470296391628
43,BLAT_ECOLX_Firnberg_2014,RITA regressor,0,is_buried,1,0.534860256766741,0.32567169571713983
44,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,1,is_buried,1,0.7285956476374411,0.23795930750622027
45,BLAT_ECOLX_Firnberg_2014,Partial least squares,1,is_buried,1,0.7286078239694651,0.297065265265484
46,BLAT_ECOLX_Firnberg_2014,Augmented Potts,1,is_buried,1,0.7930475750392931,0.21814624753756418
47,BLAT_ECOLX_Firnberg_2014,RITA regressor,1,is_buried,1,0.5754993820332407,0.30204742444414534
48,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,2,is_buried,1,0.7818525608702782,0.21341633250180042
49,BLAT_ECOLX_Firnberg_2014,Partial least squares,2,is_buried,1,0.7825949875112423,0.28916706175140566
50,BLAT_ECOLX_Firnberg_2014,Augmented Potts,2,is_buried,1,0.8466074045177472,0.19693226032318775
51,BLAT_ECOLX_Firnberg_2014,RITA regressor,2,is_buried,1,0.4937991758074185,0.32544624912212644
52,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,3,is_buried,1,0.7632148013238719,0.2220591015736079
53,BLAT_ECOLX_Firnberg_2014,Partial least squares,3,is_buried,1,0.7637734986225706,0.2964403028304354
54,BLAT_ECOLX_Firnberg_2014,Augmented Potts,3,is_buried,1,0.8242586883906798,0.20085017754845738
55,BLAT_ECOLX_Firnberg_2014,RITA regressor,3,is_buried,1,0.60094545638834,0.30669002663688943
56,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,4,is_buried,1,0.7678942494488824,0.2150970558798542
57,BLAT_ECOLX_Firnberg_2014,Partial least squares,4,is_buried,1,0.7699864967200403,0.305718293021566
58,BLAT_ECOLX_Firnberg_2014,Augmented Potts,4,is_buried,1,0.8272517086591744,0.19695055529129338
59,BLAT_ECOLX_Firnberg_2014,RITA regressor,4,is_buried,1,0.5642721294201956,0.32449035284753536
60,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,5,is_buried,1,0.7042637888464662,0.24565605963686063
61,BLAT_ECOLX_Firnberg_2014,Partial least squares,5,is_buried,1,0.7052578054313184,0.30754358735728504
62,BLAT_ECOLX_Firnberg_2014,Augmented Potts,5,is_buried,1,0.7650001876655881,0.2359507853043602
63,BLAT_ECOLX_Firnberg_2014,RITA regressor,5,is_buried,1,0.4679549080891588,0.3360808789106732
64,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,6,is_buried,1,0.7627208221472203,0.22336550638628683
65,BLAT_ECOLX_Firnberg_2014,Partial least squares,6,is_buried,1,0.7626893810297162,0.3042998561849937
66,BLAT_ECOLX_Firnberg_2014,Augmented Potts,6,is_buried,1,0.8138913238219728,0.20967899090305908
67,BLAT_ECOLX_Firnberg_2014,RITA regressor,6,is_buried,1,0.5469558231386314,0.31988479887253746
68,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,7,is_buried,1,0.7252339931497465,0.23011880985175318
69,BLAT_ECOLX_Firnberg_2014,Partial least squares,7,is_buried,1,0.7253727244829095,0.29145480527047135
70,BLAT_ECOLX_Firnberg_2014,Augmented Potts,7,is_buried,1,0.802426935135977,0.20938461271112935
71,BLAT_ECOLX_Firnberg_2014,RITA regressor,7,is_buried,1,0.5452652839215054,0.3052414457231159
72,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,8,is_buried,1,0.7237073269941393,0.2385862713431221
73,BLAT_ECOLX_Firnberg_2014,Partial least squares,8,is_buried,1,0.7236459745711795,0.3036094486518249
74,BLAT_ECOLX_Firnberg_2014,Augmented Potts,8,is_buried,1,0.7973167644312107,0.2172875445223728
75,BLAT_ECOLX_Firnberg_2014,RITA regressor,8,is_buried,1,0.5079693002781867,0.3259448622928884
76,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,9,is_buried,1,0.749241923918458,0.2290844743105327
77,BLAT_ECOLX_Firnberg_2014,Partial least squares,9,is_buried,1,0.7481229563998782,0.3056427254201304
78,BLAT_ECOLX_Firnberg_2014,Augmented Potts,9,is_buried,1,0.8073309132683467,0.21286932121310095
79,BLAT_ECOLX_Firnberg_2014,RITA regressor,9,is_buried,1,0.559553406014231,0.32207835393687784
80,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,0,is_connected,0,0.7684334559926478,0.2160646865384948
81,BLAT_ECOLX_Firnberg_2014,Partial least squares,0,is_connected,0,0.7693427229208699,0.28444763097164416
82,BLAT_ECOLX_Firnberg_2014,Augmented Potts,0,is_connected,0,0.8166672433853245,0.20184467528837227
83,BLAT_ECOLX_Firnberg_2014,RITA regressor,0,is_connected,0,0.5453495013262734,0.3134533172722902
84,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,1,is_connected,0,0.7705512301741468,0.19756626896204638
85,BLAT_ECOLX_Firnberg_2014,Partial least squares,1,is_connected,0,0.7700440901158504,0.2685591487164199
86,BLAT_ECOLX_Firnberg_2014,Augmented Potts,1,is_connected,0,0.8077307689895715,0.19484600606528263
87,BLAT_ECOLX_Firnberg_2014,RITA regressor,1,is_connected,0,0.470234507539149,0.31652303845125007
88,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,2,is_connected,0,0.7602216781908534,0.21611475740459432
89,BLAT_ECOLX_Firnberg_2014,Partial least squares,2,is_connected,0,0.7600834365436109,0.2907407058982624
90,BLAT_ECOLX_Firnberg_2014,Augmented Potts,2,is_connected,0,0.8165977029959163,0.20155342796469242
91,BLAT_ECOLX_Firnberg_2014,RITA regressor,2,is_connected,0,0.5776996066814077,0.30863197029628564
92,BLAT_ECOLX_Firnberg_2014,Residue agnostic regressor,3,is_connected,0,0.8057972273319842,0.2010117640377813
93,BLAT_ECOLX_Firnberg_2014,Partial least squares,3,is_connected,0,0.80595500815008,0.27408058729248713
94,BLAT_ECOLX_Firnberg_2014,Augmented Potts,3,is_connected,0,0.8371574463492201,0.1951585134278274
95,BLAT_ECOLX_Firnberg_2014,RITA regressor,3,is_connected,0,0.49704874167306884,0.3255783703624215
