,dataset,model,fold,structural_characteristic,is_member,spearman,mae
0,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,0,is_buried,0,0.8270810080264291,0.47630257228589556
1,BLAT_ECOLX_Stiffler_2015,Partial least squares,0,is_buried,0,0.8269967464561868,0.7086547627776157
2,BLAT_ECOLX_Stiffler_2015,Augmented Potts,0,is_buried,0,0.8276809205770954,0.49137487613025166
3,BLAT_ECOLX_Stiffler_2015,RITA regressor,0,is_buried,0,0.731095498308613,0.6725523150098031
4,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,1,is_buried,0,0.7357996147564347,0.5193726001201159
5,BLAT_ECOLX_Stiffler_2015,Partial least squares,1,is_buried,0,0.6795862012979897,0.717581301461059
6,BLAT_ECOLX_Stiffler_2015,Augmented Potts,1,is_buried,0,0.8076351976955524,0.47992976558440237
7,BLAT_ECOLX_Stiffler_2015,RITA regressor,1,is_buried,0,0.6372586673982374,0.6805563605941184
8,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,2,is_buried,0,0.8031218122916811,0.48337306156302645
9,BLAT_ECOLX_Stiffler_2015,Partial least squares,2,is_buried,0,0.8032308725703635,0.6753219330806023
10,BLAT_ECOLX_Stiffler_2015,Augmented Potts,2,is_buried,0,0.8525877214035424,0.42733023270039106
11,BLAT_ECOLX_Stiffler_2015,RITA regressor,2,is_buried,0,0.6848730379686073,0.6565775986487794
12,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,3,is_buried,0,0.7563973886231772,0.5493817128163618
13,BLAT_ECOLX_Stiffler_2015,Partial least squares,3,is_buried,0,0.7570461240788324,0.7560205485607883
14,BLAT_ECOLX_Stiffler_2015,Augmented Potts,3,is_buried,0,0.8205224032835847,0.5236364233763026
15,BLAT_ECOLX_Stiffler_2015,RITA regressor,3,is_buried,0,0.6648793543806968,0.7242528210168379
16,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,4,is_buried,0,0.7839200762016708,0.49104918519535146
17,BLAT_ECOLX_Stiffler_2015,Partial least squares,4,is_buried,0,0.7839265250673071,0.7003736603337876
18,BLAT_ECOLX_Stiffler_2015,Augmented Potts,4,is_buried,0,0.8237663308633416,0.4744958428219674
19,BLAT_ECOLX_Stiffler_2015,RITA regressor,4,is_buried,0,0.6517831700666836,0.6743635271711377
20,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,5,is_buried,0,0.7971734468983591,0.49575495647020246
21,BLAT_ECOLX_Stiffler_2015,Partial least squares,5,is_buried,0,0.7971734468983591,0.692326392738977
22,BLAT_ECOLX_Stiffler_2015,Augmented Potts,5,is_buried,0,0.8428000776866186,0.42989112686431963
23,BLAT_ECOLX_Stiffler_2015,RITA regressor,5,is_buried,0,0.6666141757082343,0.6614242681581809
24,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,6,is_buried,0,0.7616246560739685,0.511196819057083
25,BLAT_ECOLX_Stiffler_2015,Partial least squares,6,is_buried,0,0.7616246560739685,0.700871257867829
26,BLAT_ECOLX_Stiffler_2015,Augmented Potts,6,is_buried,0,0.8408989571120526,0.42708396038488533
27,BLAT_ECOLX_Stiffler_2015,RITA regressor,6,is_buried,0,0.6358454583647374,0.6893745364654599
28,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,7,is_buried,0,0.7526104013890109,0.5296718353996874
29,BLAT_ECOLX_Stiffler_2015,Partial least squares,7,is_buried,0,0.7528275227726737,0.7179222478910156
30,BLAT_ECOLX_Stiffler_2015,Augmented Potts,7,is_buried,0,0.8165563835124628,0.4593723873130324
31,BLAT_ECOLX_Stiffler_2015,RITA regressor,7,is_buried,0,0.6588393516402377,0.6757125224625178
32,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,8,is_buried,0,0.7171342574367477,0.5536004255507581
33,BLAT_ECOLX_Stiffler_2015,Partial least squares,8,is_buried,0,0.7171427248928236,0.7309139262089627
34,BLAT_ECOLX_Stiffler_2015,Augmented Potts,8,is_buried,0,0.791326397663394,0.5118419647542108
35,BLAT_ECOLX_Stiffler_2015,RITA regressor,8,is_buried,0,0.5916421433836246,0.7039948630559494
36,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,9,is_buried,0,0.7682639537158567,0.5207428302863719
37,BLAT_ECOLX_Stiffler_2015,Partial least squares,9,is_buried,0,0.7403477650570667,0.7511479815078858
38,BLAT_ECOLX_Stiffler_2015,Augmented Potts,9,is_buried,0,0.8150692456703386,0.4898121101750554
39,BLAT_ECOLX_Stiffler_2015,RITA regressor,9,is_buried,0,0.6158994502476157,0.7141997247895424
40,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,0,is_buried,1,0.707221979694361,0.6454783953161428
41,BLAT_ECOLX_Stiffler_2015,Partial least squares,0,is_buried,1,0.7074141909879735,0.848301170408865
42,BLAT_ECOLX_Stiffler_2015,Augmented Potts,0,is_buried,1,0.8111829581245721,0.5298466746982937
43,BLAT_ECOLX_Stiffler_2015,RITA regressor,0,is_buried,1,0.6129008768264396,0.8098309730103158
44,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,1,is_buried,1,0.7592318914084885,0.5708800656004712
45,BLAT_ECOLX_Stiffler_2015,Partial least squares,1,is_buried,1,0.7589655440655426,0.8062829818541571
46,BLAT_ECOLX_Stiffler_2015,Augmented Potts,1,is_buried,1,0.8337922514118854,0.5166662778789676
47,BLAT_ECOLX_Stiffler_2015,RITA regressor,1,is_buried,1,0.6988801378291901,0.7165769697185859
48,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,2,is_buried,1,0.7385018632587231,0.5832154000803297
49,BLAT_ECOLX_Stiffler_2015,Partial least squares,2,is_buried,1,0.7385018632587231,0.7976270067514605
50,BLAT_ECOLX_Stiffler_2015,Augmented Potts,2,is_buried,1,0.8187374022667658,0.5135351959949175
51,BLAT_ECOLX_Stiffler_2015,RITA regressor,2,is_buried,1,0.6591071088585765,0.7453777372865402
52,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,3,is_buried,1,0.7291291484402348,0.6160528009081747
53,BLAT_ECOLX_Stiffler_2015,Partial least squares,3,is_buried,1,0.7290729740484717,0.8222375634564913
54,BLAT_ECOLX_Stiffler_2015,Augmented Potts,3,is_buried,1,0.8002099055860088,0.5318384591590126
55,BLAT_ECOLX_Stiffler_2015,RITA regressor,3,is_buried,1,0.6376805488437026,0.7909271144093992
56,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,4,is_buried,1,0.7234233172062966,0.6073340128643135
57,BLAT_ECOLX_Stiffler_2015,Partial least squares,4,is_buried,1,0.7233745776605021,0.8097819887713902
58,BLAT_ECOLX_Stiffler_2015,Augmented Potts,4,is_buried,1,0.7878233282262777,0.4973765601947319
59,BLAT_ECOLX_Stiffler_2015,RITA regressor,4,is_buried,1,0.629267809127294,0.7449620212978605
60,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,5,is_buried,1,0.7796716979909266,0.5524331030589956
61,BLAT_ECOLX_Stiffler_2015,Partial least squares,5,is_buried,1,0.7796978110204138,0.7742165685259077
62,BLAT_ECOLX_Stiffler_2015,Augmented Potts,5,is_buried,1,0.8278783959597005,0.5031593300141374
63,BLAT_ECOLX_Stiffler_2015,RITA regressor,5,is_buried,1,0.672848269572313,0.7216695804953638
64,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,6,is_buried,1,0.7719281630650495,0.5651373576419284
65,BLAT_ECOLX_Stiffler_2015,Partial least squares,6,is_buried,1,0.7719281630650495,0.7844429069628046
66,BLAT_ECOLX_Stiffler_2015,Augmented Potts,6,is_buried,1,0.8172683721909451,0.5369491967875925
67,BLAT_ECOLX_Stiffler_2015,RITA regressor,6,is_buried,1,0.7059854138159657,0.6886877285150871
68,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,7,is_buried,1,0.7285961775520641,0.6077223962140589
69,BLAT_ECOLX_Stiffler_2015,Partial least squares,7,is_buried,1,0.7217485589252144,0.8079568589693004
70,BLAT_ECOLX_Stiffler_2015,Augmented Potts,7,is_buried,1,0.8377270624219468,0.5025913214921243
71,BLAT_ECOLX_Stiffler_2015,RITA regressor,7,is_buried,1,0.649014078920562,0.7708332616961413
72,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,8,is_buried,1,0.74954208183593,0.574873066644915
73,BLAT_ECOLX_Stiffler_2015,Partial least squares,8,is_buried,1,0.7495177752675934,0.7678349020907776
74,BLAT_ECOLX_Stiffler_2015,Augmented Potts,8,is_buried,1,0.8116114888304433,0.481543296580543
75,BLAT_ECOLX_Stiffler_2015,RITA regressor,8,is_buried,1,0.6429095991249847,0.7397889577605351
76,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,9,is_buried,1,0.733752218687617,0.5905034196304977
77,BLAT_ECOLX_Stiffler_2015,Partial least squares,9,is_buried,1,0.7337505251960433,0.8099349666792579
78,BLAT_ECOLX_Stiffler_2015,Augmented Potts,9,is_buried,1,0.8443514927775054,0.48442309002876394
79,BLAT_ECOLX_Stiffler_2015,RITA regressor,9,is_buried,1,0.6669549766494316,0.7232476193828781
80,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,0,is_connected,0,0.7361861507168569,0.5497838401924556
81,BLAT_ECOLX_Stiffler_2015,Partial least squares,0,is_connected,0,0.7361861507168569,0.7488385865850951
82,BLAT_ECOLX_Stiffler_2015,Augmented Potts,0,is_connected,0,0.8133713823782925,0.5064158276792562
83,BLAT_ECOLX_Stiffler_2015,RITA regressor,0,is_connected,0,0.6238442846081549,0.7261184524281457
84,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,1,is_connected,0,0.7653333437928498,0.5392421391896861
85,BLAT_ECOLX_Stiffler_2015,Partial least squares,1,is_connected,0,0.7654002331296693,0.7406158696149275
86,BLAT_ECOLX_Stiffler_2015,Augmented Potts,1,is_connected,0,0.8271460641449805,0.48021611263564
87,BLAT_ECOLX_Stiffler_2015,RITA regressor,1,is_connected,0,0.6715816995002918,0.6974530228936725
88,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,2,is_connected,0,0.7633282219641176,0.5333463609717106
89,BLAT_ECOLX_Stiffler_2015,Partial least squares,2,is_connected,0,0.7634520939982469,0.737882508937305
90,BLAT_ECOLX_Stiffler_2015,Augmented Potts,2,is_connected,0,0.8047912913318288,0.5153597485359279
91,BLAT_ECOLX_Stiffler_2015,RITA regressor,2,is_connected,0,0.6551193358699413,0.703128725560744
92,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,3,is_connected,0,0.7957632622298392,0.52485676167694
93,BLAT_ECOLX_Stiffler_2015,Partial least squares,3,is_connected,0,0.7536653466364196,0.771870239786313
94,BLAT_ECOLX_Stiffler_2015,Augmented Potts,3,is_connected,0,0.8209674189843433,0.4928810323792617
95,BLAT_ECOLX_Stiffler_2015,RITA regressor,3,is_connected,0,0.7143031857773536,0.6646233481634086
96,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,4,is_connected,0,0.7738581462630749,0.5283105276101258
97,BLAT_ECOLX_Stiffler_2015,Partial least squares,4,is_connected,0,0.7738581462630749,0.7333639859219977
98,BLAT_ECOLX_Stiffler_2015,Augmented Potts,4,is_connected,0,0.8077275100704078,0.4984347993114157
99,BLAT_ECOLX_Stiffler_2015,RITA regressor,4,is_connected,0,0.6451523336905008,0.7009324494028764
100,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,5,is_connected,0,0.7163675066660048,0.5625802111200684
101,BLAT_ECOLX_Stiffler_2015,Partial least squares,5,is_connected,0,0.716359719617057,0.7267728946597919
102,BLAT_ECOLX_Stiffler_2015,Augmented Potts,5,is_connected,0,0.7872071416146761,0.5123835869605522
103,BLAT_ECOLX_Stiffler_2015,RITA regressor,5,is_connected,0,0.666111963091829,0.6982640860479831
104,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,6,is_connected,0,0.8103587781598741,0.49302149027401526
105,BLAT_ECOLX_Stiffler_2015,Partial least squares,6,is_connected,0,0.8103468511740173,0.710538630226207
106,BLAT_ECOLX_Stiffler_2015,Augmented Potts,6,is_connected,0,0.8558261398907125,0.45500715872475495
107,BLAT_ECOLX_Stiffler_2015,RITA regressor,6,is_connected,0,0.7092659682976469,0.6554611270718175
108,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,7,is_connected,0,0.7828813598741479,0.5180863777575976
109,BLAT_ECOLX_Stiffler_2015,Partial least squares,7,is_connected,0,0.7633045668358126,0.7462147081798881
110,BLAT_ECOLX_Stiffler_2015,Augmented Potts,7,is_connected,0,0.8057855261843818,0.4900356433406197
111,BLAT_ECOLX_Stiffler_2015,RITA regressor,7,is_connected,0,0.6898462310047676,0.675261051087034
112,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,8,is_connected,0,0.7629028108601396,0.5445197788484742
113,BLAT_ECOLX_Stiffler_2015,Partial least squares,8,is_connected,0,0.7630419650064068,0.7391647890484971
114,BLAT_ECOLX_Stiffler_2015,Augmented Potts,8,is_connected,0,0.8146823238401645,0.47405203923550804
115,BLAT_ECOLX_Stiffler_2015,RITA regressor,8,is_connected,0,0.67016455075574,0.7098719715168975
116,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,9,is_connected,0,0.7822164019406879,0.5105877183015651
117,BLAT_ECOLX_Stiffler_2015,Partial least squares,9,is_connected,0,0.7824627028184523,0.7124770590135336
118,BLAT_ECOLX_Stiffler_2015,Augmented Potts,9,is_connected,0,0.8249745449112355,0.47192798771150046
119,BLAT_ECOLX_Stiffler_2015,RITA regressor,9,is_connected,0,0.6995931524682936,0.6761030192155428
120,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,0,is_connected,1,0.7194712452118329,0.5992087303402386
121,BLAT_ECOLX_Stiffler_2015,Partial least squares,0,is_connected,1,0.7194712452118329,0.8009705456894641
122,BLAT_ECOLX_Stiffler_2015,Augmented Potts,0,is_connected,1,0.8459282031812801,0.49228942062379916
123,BLAT_ECOLX_Stiffler_2015,RITA regressor,0,is_connected,1,0.6130236303944971,0.7911195997418622
124,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,1,is_connected,1,0.7365298604955216,0.550893673512483
125,BLAT_ECOLX_Stiffler_2015,Partial least squares,1,is_connected,1,0.7365519023886983,0.7337353753350522
126,BLAT_ECOLX_Stiffler_2015,Augmented Potts,1,is_connected,1,0.8158009180964517,0.46385255378454654
127,BLAT_ECOLX_Stiffler_2015,RITA regressor,1,is_connected,1,0.6026350948105147,0.7152687133265819
128,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,2,is_connected,1,0.7591102538104121,0.5623981823168874
129,BLAT_ECOLX_Stiffler_2015,Partial least squares,2,is_connected,1,0.7590836531822507,0.7922384636995936
130,BLAT_ECOLX_Stiffler_2015,Augmented Potts,2,is_connected,1,0.8671139352741245,0.4730919048298677
131,BLAT_ECOLX_Stiffler_2015,RITA regressor,2,is_connected,1,0.6515339145854885,0.7570039128256035
132,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,3,is_connected,1,0.7543031650838711,0.5941841974898575
133,BLAT_ECOLX_Stiffler_2015,Partial least squares,3,is_connected,1,0.7543769397861824,0.7982983539131578
134,BLAT_ECOLX_Stiffler_2015,Augmented Potts,3,is_connected,1,0.8398813211944968,0.5049051751660534
135,BLAT_ECOLX_Stiffler_2015,RITA regressor,3,is_connected,1,0.651785125679252,0.7533263274099178
136,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,4,is_connected,1,0.7723089014713812,0.5574297623674842
137,BLAT_ECOLX_Stiffler_2015,Partial least squares,4,is_connected,1,0.747371482415643,0.8036008463544895
138,BLAT_ECOLX_Stiffler_2015,Augmented Potts,4,is_connected,1,0.8394912711590038,0.48560149965661487
139,BLAT_ECOLX_Stiffler_2015,RITA regressor,4,is_connected,1,0.715833356877592,0.6921848436211725
140,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,5,is_connected,1,0.7651472139003901,0.5571912450512303
141,BLAT_ECOLX_Stiffler_2015,Partial least squares,5,is_connected,1,0.7651472139003901,0.7811400930531587
142,BLAT_ECOLX_Stiffler_2015,Augmented Potts,5,is_connected,1,0.8373164310561699,0.48794803529219644
143,BLAT_ECOLX_Stiffler_2015,RITA regressor,5,is_connected,1,0.651486022067393,0.722068322030236
144,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,6,is_connected,1,0.7287842063088659,0.5975559569897905
145,BLAT_ECOLX_Stiffler_2015,Partial least squares,6,is_connected,1,0.7288082077729707,0.8108497583191517
146,BLAT_ECOLX_Stiffler_2015,Augmented Potts,6,is_connected,1,0.8337691568924148,0.5016466605516746
147,BLAT_ECOLX_Stiffler_2015,RITA regressor,6,is_connected,1,0.6261561539038477,0.7748957839399915
148,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,7,is_connected,1,0.7047251041719567,0.6643202813431699
149,BLAT_ECOLX_Stiffler_2015,Partial least squares,7,is_connected,1,0.7046691516738932,0.8642356483613582
150,BLAT_ECOLX_Stiffler_2015,Augmented Potts,7,is_connected,1,0.8020528723131267,0.5538586293701973
151,BLAT_ECOLX_Stiffler_2015,RITA regressor,7,is_connected,1,0.6177756151154274,0.8089630414568139
152,BLAT_ECOLX_Stiffler_2015,Residue agnostic regressor,8,is_connected,1,0.7458520573909881,0.594224286727132
