,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.7057427499074408,PLS
1,1,is_buried,0,0.6801317429410251,PLS
2,2,is_buried,0,0.7138810808485646,PLS
3,3,is_buried,0,0.7642785801765699,PLS
4,4,is_buried,0,0.7269621957776148,PLS
5,5,is_buried,0,0.7087661815781328,PLS
6,6,is_buried,0,0.7021956147426169,PLS
7,7,is_buried,0,0.7236258877381448,PLS
8,8,is_buried,0,0.7245874260635876,PLS
9,9,is_buried,0,0.7039612632252946,PLS
10,0,is_buried,1,0.513506079258103,PLS
11,1,is_buried,1,0.41935895277189195,PLS
12,2,is_buried,1,0.4986946504008346,PLS
13,3,is_buried,1,0.5947330233354848,PLS
14,4,is_buried,1,0.4959755176423307,PLS
15,5,is_buried,1,0.5034831225803784,PLS
16,6,is_buried,1,0.49210115328419557,PLS
17,7,is_buried,1,0.5610814047005862,PLS
18,8,is_buried,1,0.6354575089664989,PLS
19,9,is_buried,1,0.3834557814339726,PLS
20,0,is_connected,0,0.7057942148271895,PLS
21,1,is_connected,0,0.6439827500401359,PLS
22,2,is_connected,0,0.5680114046618934,PLS
23,3,is_connected,0,0.6365415359025561,PLS
24,4,is_connected,0,0.7054219575340399,PLS
25,5,is_connected,0,0.6431858760101626,PLS
26,6,is_connected,0,0.7755078475092919,PLS
27,7,is_connected,0,0.6682716133097668,PLS
28,8,is_connected,0,0.7431911873750696,PLS
29,9,is_connected,0,0.6740775991594293,PLS
30,0,is_connected,1,0.6217011913525463,PLS
31,1,is_connected,1,0.6201396858882563,PLS
32,2,is_connected,1,0.5602034638061397,PLS
33,3,is_connected,1,0.61855502518931,PLS
34,4,is_connected,1,0.5495939426027037,PLS
35,5,is_connected,1,0.6578399105324741,PLS
36,6,is_connected,1,0.6250133749272466,PLS
37,7,is_connected,1,0.6234217587423483,PLS
38,8,is_connected,1,0.47653729340984535,PLS
39,9,is_connected,1,0.568270321937505,PLS
40,0,is_close_to_as,0,0.7034054797327199,PLS
41,1,is_close_to_as,0,0.692210939939636,PLS
42,2,is_close_to_as,0,0.8088320045409954,PLS
43,3,is_close_to_as,0,0.7213971954936105,PLS
44,4,is_close_to_as,0,0.7460035689613275,PLS
45,5,is_close_to_as,0,0.7399429897562482,PLS
46,6,is_close_to_as,0,0.7360350622875362,PLS
47,7,is_close_to_as,0,0.7312154653990541,PLS
48,8,is_close_to_as,0,0.6899548326099423,PLS
49,9,is_close_to_as,0,0.647859957639227,PLS
50,0,is_close_to_as,1,0.6049645553358071,PLS
51,1,is_close_to_as,1,0.604204906683544,PLS
52,2,is_close_to_as,1,0.6996241731419044,PLS
53,3,is_close_to_as,1,0.5566704187379274,PLS
54,4,is_close_to_as,1,0.5194733622410527,PLS
55,5,is_close_to_as,1,0.6126407823625829,PLS
56,6,is_close_to_as,1,0.5184658350447247,PLS
57,7,is_close_to_as,1,0.6561094638215479,PLS
58,8,is_close_to_as,1,0.5085078823109659,PLS
59,9,is_close_to_as,1,0.6006273901537026,PLS
60,0,is_secondary,0,0.5907008508732647,PLS
61,1,is_secondary,0,0.5223715919511952,PLS
62,2,is_secondary,0,0.6140561140673361,PLS
63,3,is_secondary,0,0.6404679362994974,PLS
64,4,is_secondary,0,0.6011108399272569,PLS
65,5,is_secondary,0,0.6749813591180358,PLS
66,6,is_secondary,0,0.6806933949247568,PLS
67,7,is_secondary,0,0.6295010715090315,PLS
68,8,is_secondary,0,0.5689559929534235,PLS
69,9,is_secondary,0,0.5771563720325722,PLS
70,0,is_secondary,1,0.7383404979810253,PLS
71,1,is_secondary,1,0.6738829870756623,PLS
72,2,is_secondary,1,0.7010173808203588,PLS
73,3,is_secondary,1,0.6456613476022601,PLS
74,4,is_secondary,1,0.6586654277790805,PLS
75,5,is_secondary,1,0.6539181185898998,PLS
76,6,is_secondary,1,0.7036529540278924,PLS
77,7,is_secondary,1,0.6740511297052382,PLS
78,8,is_secondary,1,0.6722836331678893,PLS
79,9,is_secondary,1,0.6774053764494338,PLS
