,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.704537455105509,ResidueAgnosticRegressor
1,1,is_buried,0,0.7015049803079368,ResidueAgnosticRegressor
2,2,is_buried,0,0.7691696149123497,ResidueAgnosticRegressor
3,3,is_buried,0,0.746021927364858,ResidueAgnosticRegressor
4,4,is_buried,0,0.7840004896889032,ResidueAgnosticRegressor
5,5,is_buried,0,0.7790852119279746,ResidueAgnosticRegressor
6,6,is_buried,0,0.7367517428895243,ResidueAgnosticRegressor
7,7,is_buried,0,0.6936956349829658,ResidueAgnosticRegressor
8,8,is_buried,0,0.7720173759295035,ResidueAgnosticRegressor
9,9,is_buried,0,0.6666464289531291,ResidueAgnosticRegressor
10,0,is_buried,1,0.5699570556075256,ResidueAgnosticRegressor
11,1,is_buried,1,0.5369956771072757,ResidueAgnosticRegressor
12,2,is_buried,1,0.512880879471742,ResidueAgnosticRegressor
13,3,is_buried,1,0.5287743993199875,ResidueAgnosticRegressor
14,4,is_buried,1,0.5565353706451396,ResidueAgnosticRegressor
15,5,is_buried,1,0.5521289684740033,ResidueAgnosticRegressor
16,6,is_buried,1,0.4393707279146638,ResidueAgnosticRegressor
17,7,is_buried,1,0.5838259250432212,ResidueAgnosticRegressor
18,8,is_buried,1,0.617357033141635,ResidueAgnosticRegressor
19,9,is_buried,1,0.3644021191925293,ResidueAgnosticRegressor
20,0,is_connected,0,0.7380498037506952,ResidueAgnosticRegressor
21,1,is_connected,0,0.6910478722994579,ResidueAgnosticRegressor
22,2,is_connected,0,0.6819928914498563,ResidueAgnosticRegressor
23,3,is_connected,0,0.6583553924418795,ResidueAgnosticRegressor
24,4,is_connected,0,0.7407046054602752,ResidueAgnosticRegressor
25,5,is_connected,0,0.7261208623948717,ResidueAgnosticRegressor
26,6,is_connected,0,0.7942122917851138,ResidueAgnosticRegressor
27,7,is_connected,0,0.7729019328082117,ResidueAgnosticRegressor
28,8,is_connected,0,0.8059555781057272,ResidueAgnosticRegressor
29,9,is_connected,0,0.7054970827778851,ResidueAgnosticRegressor
30,0,is_connected,1,0.5867520431314408,ResidueAgnosticRegressor
31,1,is_connected,1,0.5981744085963744,ResidueAgnosticRegressor
32,2,is_connected,1,0.6401449854690798,ResidueAgnosticRegressor
33,3,is_connected,1,0.5722582633251472,ResidueAgnosticRegressor
34,4,is_connected,1,0.5895809659221838,ResidueAgnosticRegressor
35,5,is_connected,1,0.6312133280877129,ResidueAgnosticRegressor
36,6,is_connected,1,0.608782119906722,ResidueAgnosticRegressor
37,7,is_connected,1,0.65064822426678,ResidueAgnosticRegressor
38,8,is_connected,1,0.48928431983461634,ResidueAgnosticRegressor
39,9,is_connected,1,0.6661464139343563,ResidueAgnosticRegressor
40,0,is_close_to_as,0,0.7653205879753014,ResidueAgnosticRegressor
41,1,is_close_to_as,0,0.7464486620929106,ResidueAgnosticRegressor
42,2,is_close_to_as,0,0.7640103911311561,ResidueAgnosticRegressor
43,3,is_close_to_as,0,0.7175801118108192,ResidueAgnosticRegressor
44,4,is_close_to_as,0,0.7416145872283983,ResidueAgnosticRegressor
45,5,is_close_to_as,0,0.7442553936435342,ResidueAgnosticRegressor
46,6,is_close_to_as,0,0.7514227123644097,ResidueAgnosticRegressor
47,7,is_close_to_as,0,0.7406231720664083,ResidueAgnosticRegressor
48,8,is_close_to_as,0,0.6801817725589335,ResidueAgnosticRegressor
49,9,is_close_to_as,0,0.6832882548958407,ResidueAgnosticRegressor
50,0,is_close_to_as,1,0.6369989093506407,ResidueAgnosticRegressor
51,1,is_close_to_as,1,0.637269917799511,ResidueAgnosticRegressor
52,2,is_close_to_as,1,0.671830556604072,ResidueAgnosticRegressor
53,3,is_close_to_as,1,0.6162927956058304,ResidueAgnosticRegressor
54,4,is_close_to_as,1,0.5339193400296407,ResidueAgnosticRegressor
55,5,is_close_to_as,1,0.6018332333255881,ResidueAgnosticRegressor
56,6,is_close_to_as,1,0.5171979604708038,ResidueAgnosticRegressor
57,7,is_close_to_as,1,0.688055264013324,ResidueAgnosticRegressor
58,8,is_close_to_as,1,0.5539263406258256,ResidueAgnosticRegressor
59,9,is_close_to_as,1,0.603613495177064,ResidueAgnosticRegressor
60,0,is_secondary,0,0.7189602706853033,ResidueAgnosticRegressor
61,1,is_secondary,0,0.6561430103654606,ResidueAgnosticRegressor
62,2,is_secondary,0,0.6663632608025012,ResidueAgnosticRegressor
63,3,is_secondary,0,0.6872410982588196,ResidueAgnosticRegressor
64,4,is_secondary,0,0.6392235957574806,ResidueAgnosticRegressor
65,5,is_secondary,0,0.728417957885059,ResidueAgnosticRegressor
66,6,is_secondary,0,0.6853312285527996,ResidueAgnosticRegressor
67,7,is_secondary,0,0.6270760472937998,ResidueAgnosticRegressor
68,8,is_secondary,0,0.5679425126204128,ResidueAgnosticRegressor
69,9,is_secondary,0,0.6958702414362771,ResidueAgnosticRegressor
70,0,is_secondary,1,0.708911972014272,ResidueAgnosticRegressor
71,1,is_secondary,1,0.7557642778137261,ResidueAgnosticRegressor
72,2,is_secondary,1,0.7152794296541092,ResidueAgnosticRegressor
73,3,is_secondary,1,0.6923577121748716,ResidueAgnosticRegressor
74,4,is_secondary,1,0.672310211694626,ResidueAgnosticRegressor
75,5,is_secondary,1,0.6818651619333795,ResidueAgnosticRegressor
76,6,is_secondary,1,0.7133983830410727,ResidueAgnosticRegressor
77,7,is_secondary,1,0.6517757994658352,ResidueAgnosticRegressor
78,8,is_secondary,1,0.6862544391707674,ResidueAgnosticRegressor
79,9,is_secondary,1,0.699623313306332,ResidueAgnosticRegressor
