,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.7135077079276172,RITARegressor
1,1,is_buried,0,0.7406604574389457,RITARegressor
2,2,is_buried,0,0.7777092432519248,RITARegressor
3,3,is_buried,0,0.8452415846837585,RITARegressor
4,4,is_buried,0,0.7993399215127575,RITARegressor
5,5,is_buried,0,0.8098549810124215,RITARegressor
6,6,is_buried,0,0.7882256924749855,RITARegressor
7,7,is_buried,0,0.7914818948962916,RITARegressor
8,8,is_buried,0,0.8059844993043939,RITARegressor
9,9,is_buried,0,0.7325321230582988,RITARegressor
10,0,is_buried,1,0.4966127596647968,RITARegressor
11,1,is_buried,1,0.5459953100673179,RITARegressor
12,2,is_buried,1,0.5692524068438811,RITARegressor
13,3,is_buried,1,0.6228346424747978,RITARegressor
14,4,is_buried,1,0.6070961103417937,RITARegressor
15,5,is_buried,1,0.5869498375280158,RITARegressor
16,6,is_buried,1,0.5812308646790579,RITARegressor
17,7,is_buried,1,0.6633857423386627,RITARegressor
18,8,is_buried,1,0.6882997263930904,RITARegressor
19,9,is_buried,1,0.40949044977700716,RITARegressor
20,0,is_connected,0,0.744588509738246,RITARegressor
21,1,is_connected,0,0.7511749985802656,RITARegressor
22,2,is_connected,0,0.718536751918963,RITARegressor
23,3,is_connected,0,0.6993550642681126,RITARegressor
24,4,is_connected,0,0.7618761399090588,RITARegressor
25,5,is_connected,0,0.744298344988118,RITARegressor
26,6,is_connected,0,0.8270486343028298,RITARegressor
27,7,is_connected,0,0.7794354547719803,RITARegressor
28,8,is_connected,0,0.8294908945395809,RITARegressor
29,9,is_connected,0,0.7096474507339635,RITARegressor
30,0,is_connected,1,0.6042087336908127,RITARegressor
31,1,is_connected,1,0.6628582363735551,RITARegressor
32,2,is_connected,1,0.6638448958932055,RITARegressor
33,3,is_connected,1,0.6603207820014376,RITARegressor
34,4,is_connected,1,0.6673642201375584,RITARegressor
35,5,is_connected,1,0.7609038971411549,RITARegressor
36,6,is_connected,1,0.6538425133351564,RITARegressor
37,7,is_connected,1,0.7640632201899364,RITARegressor
38,8,is_connected,1,0.5339949463368122,RITARegressor
39,9,is_connected,1,0.7082061428045179,RITARegressor
40,0,is_close_to_as,0,0.7919166543217885,RITARegressor
41,1,is_close_to_as,0,0.7871904999585307,RITARegressor
42,2,is_close_to_as,0,0.8348122197491399,RITARegressor
43,3,is_close_to_as,0,0.7832529172230084,RITARegressor
44,4,is_close_to_as,0,0.8291629048463707,RITARegressor
45,5,is_close_to_as,0,0.7819330500516569,RITARegressor
46,6,is_close_to_as,0,0.7545207546532723,RITARegressor
47,7,is_close_to_as,0,0.7675960102213958,RITARegressor
48,8,is_close_to_as,0,0.7127394431430283,RITARegressor
49,9,is_close_to_as,0,0.698957159309814,RITARegressor
50,0,is_close_to_as,1,0.7161266969145913,RITARegressor
51,1,is_close_to_as,1,0.6371919722512392,RITARegressor
52,2,is_close_to_as,1,0.7645898220883155,RITARegressor
53,3,is_close_to_as,1,0.6644544357781157,RITARegressor
54,4,is_close_to_as,1,0.6376466207467907,RITARegressor
55,5,is_close_to_as,1,0.6746552388201091,RITARegressor
56,6,is_close_to_as,1,0.5753671835570893,RITARegressor
57,7,is_close_to_as,1,0.7463281722959209,RITARegressor
58,8,is_close_to_as,1,0.6134644079844751,RITARegressor
59,9,is_close_to_as,1,0.6232568432328536,RITARegressor
60,0,is_secondary,0,0.7073779668607255,RITARegressor
61,1,is_secondary,0,0.7027785008382343,RITARegressor
62,2,is_secondary,0,0.6432288007657986,RITARegressor
63,3,is_secondary,0,0.726814924119236,RITARegressor
64,4,is_secondary,0,0.6817323818476155,RITARegressor
65,5,is_secondary,0,0.7338585621571514,RITARegressor
66,6,is_secondary,0,0.7539021237697798,RITARegressor
67,7,is_secondary,0,0.6851498027040511,RITARegressor
68,8,is_secondary,0,0.5782170977938014,RITARegressor
69,9,is_secondary,0,0.6882565362176443,RITARegressor
70,0,is_secondary,1,0.7621824568483042,RITARegressor
71,1,is_secondary,1,0.7879633783781534,RITARegressor
72,2,is_secondary,1,0.7760997187801545,RITARegressor
73,3,is_secondary,1,0.7338596217916237,RITARegressor
74,4,is_secondary,1,0.7354841742977212,RITARegressor
75,5,is_secondary,1,0.7071133041364065,RITARegressor
76,6,is_secondary,1,0.7561468608571024,RITARegressor
77,7,is_secondary,1,0.7593105992832206,RITARegressor
78,8,is_secondary,1,0.755835279389904,RITARegressor
79,9,is_secondary,1,0.7267540259040447,RITARegressor
