,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.48204996388339766,PLS
1,1,is_buried,0,0.31285287355636776,PLS
2,2,is_buried,0,0.37960367672226625,PLS
3,3,is_buried,0,0.4639441779698992,PLS
4,4,is_buried,0,0.5059197338274758,PLS
5,5,is_buried,0,0.5091915649576512,PLS
6,6,is_buried,0,0.44532003830832173,PLS
7,7,is_buried,0,0.45742842515377646,PLS
8,8,is_buried,0,0.4731306351512778,PLS
9,9,is_buried,0,0.41514486731291017,PLS
10,0,is_buried,1,0.4894775564934436,PLS
11,1,is_buried,1,0.6135213486041968,PLS
12,2,is_buried,1,0.5258649343075855,PLS
13,3,is_buried,1,0.6262589665368833,PLS
14,4,is_buried,1,0.4829946824651077,PLS
15,5,is_buried,1,0.6327315455830623,PLS
16,6,is_buried,1,0.5487058299059163,PLS
17,7,is_buried,1,0.5756170712525503,PLS
18,8,is_buried,1,0.5191810494905632,PLS
19,9,is_buried,1,0.6435201596942114,PLS
20,0,is_connected,0,0.31920776718802374,PLS
21,1,is_connected,0,0.42918221336422485,PLS
22,2,is_connected,0,0.486257851584085,PLS
23,3,is_connected,0,0.5931130678336483,PLS
24,4,is_connected,0,0.5632487094725143,PLS
25,5,is_connected,0,0.6025854756439116,PLS
26,6,is_connected,0,0.5138249902642671,PLS
27,7,is_connected,0,0.5345766874215889,PLS
28,8,is_connected,0,0.5165531092174656,PLS
29,9,is_connected,0,0.5520321823154023,PLS
30,0,is_connected,1,0.4594770438739675,PLS
31,1,is_connected,1,0.5605583826328943,PLS
32,2,is_connected,1,0.5436513636761969,PLS
33,3,is_connected,1,0.6614513453035507,PLS
34,4,is_connected,1,0.4107409544927494,PLS
35,5,is_connected,1,0.6455948445217994,PLS
36,6,is_connected,1,0.5235028032681364,PLS
37,7,is_connected,1,0.5391794132503035,PLS
38,8,is_connected,1,0.4830935134404544,PLS
39,9,is_connected,1,0.5953915208777041,PLS
40,0,is_close_to_as,0,0.29174060437969446,PLS
41,1,is_close_to_as,0,0.3482069680147912,PLS
42,2,is_close_to_as,0,0.5389849324344264,PLS
43,3,is_close_to_as,0,0.5633467139407194,PLS
44,4,is_close_to_as,0,0.4099221046394054,PLS
45,5,is_close_to_as,0,0.5769270550026998,PLS
46,6,is_close_to_as,0,0.44457144360886947,PLS
47,7,is_close_to_as,0,0.48098965643010416,PLS
48,8,is_close_to_as,0,0.39493621607249174,PLS
49,9,is_close_to_as,0,0.48391207889395604,PLS
50,0,is_close_to_as,1,0.5950917376998717,PLS
51,1,is_close_to_as,1,0.4778605306607435,PLS
52,2,is_close_to_as,1,0.5666206734743525,PLS
53,3,is_close_to_as,1,0.7065650244551147,PLS
54,4,is_close_to_as,1,0.6008154037995506,PLS
55,5,is_close_to_as,1,0.6762686897688042,PLS
56,6,is_close_to_as,1,0.6087200513342033,PLS
57,7,is_close_to_as,1,0.5869077837408723,PLS
58,8,is_close_to_as,1,0.6921819136718966,PLS
59,9,is_close_to_as,1,0.6799346858262189,PLS
60,0,is_secondary,0,0.6110365428763688,PLS
61,1,is_secondary,0,0.5676990551483179,PLS
62,2,is_secondary,0,0.6406760235605935,PLS
63,3,is_secondary,0,0.7280810793812815,PLS
64,4,is_secondary,0,0.5642679064797606,PLS
65,5,is_secondary,0,0.6657442200766989,PLS
66,6,is_secondary,0,0.6233213727063199,PLS
67,7,is_secondary,0,0.5815754018076275,PLS
68,8,is_secondary,0,0.6313670690256715,PLS
69,9,is_secondary,0,0.6896861314319462,PLS
70,0,is_secondary,1,0.36503462062152375,PLS
71,1,is_secondary,1,0.4575120531022551,PLS
72,2,is_secondary,1,0.5103001235347833,PLS
73,3,is_secondary,1,0.613482161384703,PLS
74,4,is_secondary,1,0.48615186948173683,PLS
75,5,is_secondary,1,0.6309112202678426,PLS
76,6,is_secondary,1,0.49864500402241074,PLS
77,7,is_secondary,1,0.5615215465699896,PLS
78,8,is_secondary,1,0.5433932169146267,PLS
79,9,is_secondary,1,0.5572974841762676,PLS
