,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.4199280114677841,PottsRegressor
1,1,is_buried,0,0.2671819782124939,PottsRegressor
2,2,is_buried,0,0.28687329421981356,PottsRegressor
3,3,is_buried,0,0.3988939291633587,PottsRegressor
4,4,is_buried,0,0.4371246599804526,PottsRegressor
5,5,is_buried,0,0.4417371349181224,PottsRegressor
6,6,is_buried,0,0.3390546113757058,PottsRegressor
7,7,is_buried,0,0.4070080596107426,PottsRegressor
8,8,is_buried,0,0.31904498142636567,PottsRegressor
9,9,is_buried,0,0.4059902730171372,PottsRegressor
10,0,is_buried,1,0.5265512392431585,PottsRegressor
11,1,is_buried,1,0.5403882894477205,PottsRegressor
12,2,is_buried,1,0.5699846595185576,PottsRegressor
13,3,is_buried,1,0.6275325311314432,PottsRegressor
14,4,is_buried,1,0.5440835183871127,PottsRegressor
15,5,is_buried,1,0.6550490509089479,PottsRegressor
16,6,is_buried,1,0.558194155411909,PottsRegressor
17,7,is_buried,1,0.6313444898801649,PottsRegressor
18,8,is_buried,1,0.6272379317543996,PottsRegressor
19,9,is_buried,1,0.632937977003091,PottsRegressor
20,0,is_connected,0,0.4740648336609477,PottsRegressor
21,1,is_connected,0,0.4017867101531498,PottsRegressor
22,2,is_connected,0,0.4280312092167637,PottsRegressor
23,3,is_connected,0,0.5525459593439314,PottsRegressor
24,4,is_connected,0,0.5297465836825226,PottsRegressor
25,5,is_connected,0,0.5516053019214878,PottsRegressor
26,6,is_connected,0,0.4583750300375578,PottsRegressor
27,7,is_connected,0,0.5209414545915534,PottsRegressor
28,8,is_connected,0,0.5415204930956341,PottsRegressor
29,9,is_connected,0,0.5037149638662968,PottsRegressor
30,0,is_connected,1,0.4751184263459624,PottsRegressor
31,1,is_connected,1,0.45855198132138236,PottsRegressor
32,2,is_connected,1,0.5456665223015265,PottsRegressor
33,3,is_connected,1,0.6469464275920883,PottsRegressor
34,4,is_connected,1,0.47239561990322076,PottsRegressor
35,5,is_connected,1,0.6207627045963724,PottsRegressor
36,6,is_connected,1,0.5183683103309752,PottsRegressor
37,7,is_connected,1,0.5464199063473458,PottsRegressor
38,8,is_connected,1,0.6072124354484709,PottsRegressor
39,9,is_connected,1,0.5721099066869014,PottsRegressor
40,0,is_close_to_as,0,0.3145975157426813,PottsRegressor
41,1,is_close_to_as,0,0.34327887151638503,PottsRegressor
42,2,is_close_to_as,0,0.4626569081423435,PottsRegressor
43,3,is_close_to_as,0,0.4878349955936016,PottsRegressor
44,4,is_close_to_as,0,0.37765434244778806,PottsRegressor
45,5,is_close_to_as,0,0.5171628705150602,PottsRegressor
46,6,is_close_to_as,0,0.4012830048022921,PottsRegressor
47,7,is_close_to_as,0,0.47049549718171485,PottsRegressor
48,8,is_close_to_as,0,0.42399672050377224,PottsRegressor
49,9,is_close_to_as,0,0.4361201983806925,PottsRegressor
50,0,is_close_to_as,1,0.5630470906328979,PottsRegressor
51,1,is_close_to_as,1,0.5625170965889592,PottsRegressor
52,2,is_close_to_as,1,0.5969615127244493,PottsRegressor
53,3,is_close_to_as,1,0.7094565420335918,PottsRegressor
54,4,is_close_to_as,1,0.6117188049746598,PottsRegressor
55,5,is_close_to_as,1,0.6470840792659247,PottsRegressor
56,6,is_close_to_as,1,0.5983558724935983,PottsRegressor
57,7,is_close_to_as,1,0.6348236806372034,PottsRegressor
58,8,is_close_to_as,1,0.6936577590724824,PottsRegressor
59,9,is_close_to_as,1,0.6488879321308972,PottsRegressor
60,0,is_secondary,0,0.5308145390559945,PottsRegressor
61,1,is_secondary,0,0.5096206080775803,PottsRegressor
62,2,is_secondary,0,0.5590793431478261,PottsRegressor
63,3,is_secondary,0,0.7093595753098374,PottsRegressor
64,4,is_secondary,0,0.5585956089484854,PottsRegressor
65,5,is_secondary,0,0.6152936224844343,PottsRegressor
66,6,is_secondary,0,0.5374751974295484,PottsRegressor
67,7,is_secondary,0,0.5381566303930939,PottsRegressor
68,8,is_secondary,0,0.6144457302365737,PottsRegressor
69,9,is_secondary,0,0.636467381737915,PottsRegressor
70,0,is_secondary,1,0.4106831693010394,PottsRegressor
71,1,is_secondary,1,0.42934451595028694,PottsRegressor
72,2,is_secondary,1,0.5415044247084827,PottsRegressor
73,3,is_secondary,1,0.5833947721540081,PottsRegressor
74,4,is_secondary,1,0.5040018968829966,PottsRegressor
75,5,is_secondary,1,0.5954828472500949,PottsRegressor
76,6,is_secondary,1,0.49686430534288106,PottsRegressor
77,7,is_secondary,1,0.5596860710308412,PottsRegressor
78,8,is_secondary,1,0.5974793308557793,PottsRegressor
79,9,is_secondary,1,0.5261635243888039,PottsRegressor
