,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.4830202476075257,ResidueAgnosticRegressor
1,1,is_buried,0,0.3120118173657594,ResidueAgnosticRegressor
2,2,is_buried,0,0.3787979810247584,ResidueAgnosticRegressor
3,3,is_buried,0,0.46446588535688704,ResidueAgnosticRegressor
4,4,is_buried,0,0.5063960427726203,ResidueAgnosticRegressor
5,5,is_buried,0,0.5090194073247714,ResidueAgnosticRegressor
6,6,is_buried,0,0.44564814449519713,ResidueAgnosticRegressor
7,7,is_buried,0,0.4570247984537913,ResidueAgnosticRegressor
8,8,is_buried,0,0.4740059979496037,ResidueAgnosticRegressor
9,9,is_buried,0,0.4715323110263907,ResidueAgnosticRegressor
10,0,is_buried,1,0.48996976718608704,ResidueAgnosticRegressor
11,1,is_buried,1,0.6136777560249786,ResidueAgnosticRegressor
12,2,is_buried,1,0.5264092311786608,ResidueAgnosticRegressor
13,3,is_buried,1,0.6258605802743588,ResidueAgnosticRegressor
14,4,is_buried,1,0.4825098877890952,ResidueAgnosticRegressor
15,5,is_buried,1,0.6322826263191131,ResidueAgnosticRegressor
16,6,is_buried,1,0.5484700527854716,ResidueAgnosticRegressor
17,7,is_buried,1,0.5766726504565125,ResidueAgnosticRegressor
18,8,is_buried,1,0.5206710058016468,ResidueAgnosticRegressor
19,9,is_buried,1,0.6426816807378111,ResidueAgnosticRegressor
20,0,is_connected,0,0.4802951364576016,ResidueAgnosticRegressor
21,1,is_connected,0,0.42155297456120766,ResidueAgnosticRegressor
22,2,is_connected,0,0.48585412538735717,ResidueAgnosticRegressor
23,3,is_connected,0,0.5935981462563401,ResidueAgnosticRegressor
24,4,is_connected,0,0.5623331389787899,ResidueAgnosticRegressor
25,5,is_connected,0,0.6027652507271696,ResidueAgnosticRegressor
26,6,is_connected,0,0.5137925061852087,ResidueAgnosticRegressor
27,7,is_connected,0,0.5336526942834602,ResidueAgnosticRegressor
28,8,is_connected,0,0.5812132682621087,ResidueAgnosticRegressor
29,9,is_connected,0,0.5528808039114758,ResidueAgnosticRegressor
30,0,is_connected,1,0.45905820722420954,ResidueAgnosticRegressor
31,1,is_connected,1,0.5597288051741004,ResidueAgnosticRegressor
32,2,is_connected,1,0.5435020445770262,ResidueAgnosticRegressor
33,3,is_connected,1,0.6615254804134613,ResidueAgnosticRegressor
34,4,is_connected,1,0.41046549729933873,ResidueAgnosticRegressor
35,5,is_connected,1,0.6449829414322391,ResidueAgnosticRegressor
36,6,is_connected,1,0.5237773816674138,ResidueAgnosticRegressor
37,7,is_connected,1,0.5398229578436385,ResidueAgnosticRegressor
38,8,is_connected,1,0.48406504137990497,ResidueAgnosticRegressor
39,9,is_connected,1,0.5945512803362205,ResidueAgnosticRegressor
40,0,is_close_to_as,0,0.291376301519129,ResidueAgnosticRegressor
41,1,is_close_to_as,0,0.34696083805687244,ResidueAgnosticRegressor
42,2,is_close_to_as,0,0.5381065313791132,ResidueAgnosticRegressor
43,3,is_close_to_as,0,0.5633293918787396,ResidueAgnosticRegressor
44,4,is_close_to_as,0,0.40844452824629307,ResidueAgnosticRegressor
45,5,is_close_to_as,0,0.576960387835426,ResidueAgnosticRegressor
46,6,is_close_to_as,0,0.44525622274532206,ResidueAgnosticRegressor
47,7,is_close_to_as,0,0.4817133903719209,ResidueAgnosticRegressor
48,8,is_close_to_as,0,0.3949247563935105,ResidueAgnosticRegressor
49,9,is_close_to_as,0,0.4828828891239086,ResidueAgnosticRegressor
