,dataset,model,fold,structural_characteristic,is_member,spearman,mae
0,asp,Residue agnostic regressor,0,is_buried,0,0.6222212399232216,0.21842321693350955
1,asp,Partial least squares,0,is_buried,0,0.6222167272402722,0.24960299657566665
2,asp,Augmented Potts,0,is_buried,0,0.6266952339967284,0.22427078900590272
3,asp,RITA regressor,0,is_buried,0,0.5028357130902664,0.26824209296999724
4,asp,Residue agnostic regressor,1,is_buried,0,0.7880009495982379,0.20364158463161083
5,asp,Partial least squares,1,is_buried,0,0.7896721973041949,0.2602716250194553
6,asp,Augmented Potts,1,is_buried,0,0.7596215309615801,0.21208717626817541
7,asp,RITA regressor,1,is_buried,0,0.4962513980567961,0.306018073981778
8,asp,Residue agnostic regressor,2,is_buried,0,0.7078499955071971,0.21851291493998232
9,asp,Partial least squares,2,is_buried,0,0.7070860048641149,0.2559338815558869
10,asp,Augmented Potts,2,is_buried,0,0.7018637000957012,0.23319193463221066
11,asp,RITA regressor,2,is_buried,0,0.3588564502683726,0.3137853123391493
12,asp,Residue agnostic regressor,3,is_buried,0,0.6835370471609719,0.22183498016026693
13,asp,Partial least squares,3,is_buried,0,0.6810430938704478,0.27193654558708247
14,asp,Augmented Potts,3,is_buried,0,0.7293666555222225,0.21642370922697063
15,asp,RITA regressor,3,is_buried,0,0.4442516013209134,0.3035463170482246
16,asp,Residue agnostic regressor,4,is_buried,0,0.6606262765871443,0.21513957957892302
17,asp,Partial least squares,4,is_buried,0,0.6593580324465061,0.25319803665431967
18,asp,Augmented Potts,4,is_buried,0,0.6280001567592386,0.22973015114252063
19,asp,RITA regressor,4,is_buried,0,0.3824614314035224,0.2967079507187369
20,asp,Residue agnostic regressor,5,is_buried,0,0.7103738938168273,0.19896144391858636
21,asp,Partial least squares,5,is_buried,0,0.7107788938377358,0.243120915239003
22,asp,Augmented Potts,5,is_buried,0,0.7079359665601994,0.19778767418876647
23,asp,RITA regressor,5,is_buried,0,0.39916652539908903,0.2942486882434543
24,asp,Residue agnostic regressor,6,is_buried,0,0.7515435644423534,0.2023454926997149
25,asp,Partial least squares,6,is_buried,0,0.7525584983423097,0.25523179953955216
26,asp,Augmented Potts,6,is_buried,0,0.7566427870450584,0.20474662409001504
27,asp,RITA regressor,6,is_buried,0,0.5125682673665121,0.28843702029161317
28,asp,Residue agnostic regressor,7,is_buried,0,0.707333620083837,0.21323009752514294
29,asp,Partial least squares,7,is_buried,0,0.7070070574052076,0.25284924630871974
30,asp,Augmented Potts,7,is_buried,0,0.6974595613107126,0.23444090123637665
31,asp,RITA regressor,7,is_buried,0,0.48308871607046866,0.28758841699287563
32,asp,Residue agnostic regressor,8,is_buried,0,0.7795692860841452,0.1882990968403274
33,asp,Partial least squares,8,is_buried,0,0.7784624008559798,0.24170076781428237
34,asp,Augmented Potts,8,is_buried,0,0.7676124386585408,0.1981854662176375
35,asp,RITA regressor,8,is_buried,0,0.49756092117732587,0.2814035748178949
36,asp,Residue agnostic regressor,9,is_buried,0,0.702411036607594,0.19594484386851446
37,asp,Partial least squares,9,is_buried,0,0.7024153186943873,0.2488410376664424
38,asp,Augmented Potts,9,is_buried,0,0.6622752686478578,0.20094465671147602
39,asp,RITA regressor,9,is_buried,0,0.39958766468192125,0.29533652236264446
40,asp,Residue agnostic regressor,0,is_buried,1,0.6233479457243424,0.15139540773472993
41,asp,Partial least squares,0,is_buried,1,0.6237299530754846,0.19434548594804507
42,asp,Augmented Potts,0,is_buried,1,0.5833640379902394,0.16567295905822835
43,asp,RITA regressor,0,is_buried,1,0.1221057763156588,0.24688789210743686
44,asp,Residue agnostic regressor,1,is_buried,1,0.6721932499418476,0.158176775440809
45,asp,Partial least squares,1,is_buried,1,0.6711867564390344,0.20902917165408144
46,asp,Augmented Potts,1,is_buried,1,0.7412953737715375,0.16491438910389727
47,asp,RITA regressor,1,is_buried,1,0.44581793478931325,0.2312038501758486
48,asp,Residue agnostic regressor,2,is_buried,1,0.5639902979588303,0.156802160995406
49,asp,Partial least squares,2,is_buried,1,0.5691557964230411,0.19378191637124695
50,asp,Augmented Potts,2,is_buried,1,0.5485038354644632,0.16293934887580955
51,asp,RITA regressor,2,is_buried,1,0.37894117320353643,0.2257118685620503
52,asp,Residue agnostic regressor,3,is_buried,1,0.5718568837997287,0.17393688809086694
53,asp,Partial least squares,3,is_buried,1,0.5759413469721637,0.21254819579072784
54,asp,Augmented Potts,3,is_buried,1,0.6447577241101206,0.1634017161102817
55,asp,RITA regressor,3,is_buried,1,0.3477611562077039,0.23893166482443082
56,asp,Residue agnostic regressor,4,is_buried,1,0.5685052311811625,0.16318811168162167
57,asp,Partial least squares,4,is_buried,1,0.5673994461072207,0.1994434750830775
58,asp,Augmented Potts,4,is_buried,1,0.6317040408846046,0.15016375086781986
59,asp,RITA regressor,4,is_buried,1,0.25136485107799794,0.24060147255843914
60,asp,Residue agnostic regressor,5,is_buried,1,0.5486558633080513,0.15626601644178195
61,asp,Partial least squares,5,is_buried,1,0.548112537570841,0.19203671712103526
62,asp,Augmented Potts,5,is_buried,1,0.5937475180376919,0.17104411244150117
63,asp,RITA regressor,5,is_buried,1,0.2815584197475227,0.22292160171224137
64,asp,Residue agnostic regressor,6,is_buried,1,0.5458387187068385,0.16470327588092656
65,asp,Partial least squares,6,is_buried,1,0.5449016872671003,0.19354704280643478
66,asp,Augmented Potts,6,is_buried,1,0.5040511311752276,0.1725269730751163
67,asp,RITA regressor,6,is_buried,1,0.19513063696647237,0.2386691895825305
68,asp,Residue agnostic regressor,7,is_buried,1,0.6464610144961317,0.15351030186225478
69,asp,Partial least squares,7,is_buried,1,0.6484928246651577,0.19715647972445954
70,asp,Augmented Potts,7,is_buried,1,0.667083428654551,0.16380840065155575
