,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.30629447204861415,PLS
1,1,is_buried,0,0.5406719066498157,PLS
2,2,is_buried,0,0.47369332248402907,PLS
3,3,is_buried,0,0.34083767594051356,PLS
4,4,is_buried,0,0.3303440037395475,PLS
5,5,is_buried,0,0.3417292810027527,PLS
6,6,is_buried,0,0.44789087792801374,PLS
7,7,is_buried,0,0.41996113294437426,PLS
8,8,is_buried,0,0.3419911358875366,PLS
9,9,is_buried,0,0.42095877841450113,PLS
10,0,is_buried,1,0.4257717144786275,PLS
11,1,is_buried,1,0.5939279963989543,PLS
12,2,is_buried,1,0.6253116289537924,PLS
13,3,is_buried,1,0.40275228960717446,PLS
14,4,is_buried,1,0.5423837018057167,PLS
15,5,is_buried,1,0.44367523069198944,PLS
16,6,is_buried,1,0.5668833642076834,PLS
17,7,is_buried,1,0.4444131853672894,PLS
18,8,is_buried,1,0.45388324301864585,PLS
19,9,is_buried,1,0.4900949602673084,PLS
20,0,is_connected,0,0.2917019457067941,PLS
21,1,is_connected,0,0.5846152758832718,PLS
22,2,is_connected,0,0.5135634068598003,PLS
23,3,is_connected,0,0.33232219717155154,PLS
24,4,is_connected,0,0.39037111901110316,PLS
25,5,is_connected,0,0.40639758005809556,PLS
26,6,is_connected,0,0.48377069919641535,PLS
27,7,is_connected,0,0.43609416853368765,PLS
28,8,is_connected,0,0.2790961969312536,PLS
29,9,is_connected,0,0.45163155253691045,PLS
30,0,is_connected,1,0.42226410062669456,PLS
31,1,is_connected,1,0.5112636117160763,PLS
32,2,is_connected,1,0.6068803057913685,PLS
33,3,is_connected,1,0.46800480021334284,PLS
34,4,is_connected,1,0.4628774612204987,PLS
35,5,is_connected,1,0.42628205698031024,PLS
36,6,is_connected,1,0.5571820969820882,PLS
37,7,is_connected,1,0.4967954131294725,PLS
38,8,is_connected,1,0.4934921552068981,PLS
39,9,is_connected,1,0.4056589181741411,PLS
40,0,is_close_to_as,0,0.44906814286456265,PLS
41,1,is_close_to_as,0,0.48054050310763324,PLS
42,2,is_close_to_as,0,0.4455082148854764,PLS
43,3,is_close_to_as,0,0.3344449542078565,PLS
44,4,is_close_to_as,0,0.41321133636883023,PLS
45,5,is_close_to_as,0,0.34458804383580616,PLS
46,6,is_close_to_as,0,0.43596457817558565,PLS
47,7,is_close_to_as,0,0.45268866536244184,PLS
48,8,is_close_to_as,0,0.3193396063087551,PLS
49,9,is_close_to_as,0,0.2371539620158931,PLS
50,0,is_close_to_as,1,0.4498017693599488,PLS
51,1,is_close_to_as,1,0.6029976974082859,PLS
52,2,is_close_to_as,1,0.6701602292204083,PLS
53,3,is_close_to_as,1,0.5219395439829643,PLS
54,4,is_close_to_as,1,0.43063226052180537,PLS
55,5,is_close_to_as,1,0.46609520264538357,PLS
56,6,is_close_to_as,1,0.5888467131801736,PLS
57,7,is_close_to_as,1,0.46414535759422454,PLS
58,8,is_close_to_as,1,0.38645019996191204,PLS
59,9,is_close_to_as,1,0.49838342480220216,PLS
60,0,is_secondary,0,0.48580901856763925,PLS
61,1,is_secondary,0,0.49642713608230843,PLS
62,2,is_secondary,0,0.577666586287276,PLS
63,3,is_secondary,0,0.45067518688208347,PLS
64,4,is_secondary,0,0.43032714412024753,PLS
65,5,is_secondary,0,0.402419419660799,PLS
66,6,is_secondary,0,0.5483160517643276,PLS
67,7,is_secondary,0,0.501069045896632,PLS
68,8,is_secondary,0,0.3956595129008922,PLS
69,9,is_secondary,0,0.3932481311791657,PLS
70,0,is_secondary,1,0.5516866271667967,PLS
71,1,is_secondary,1,0.6159614892465978,PLS
72,2,is_secondary,1,0.5938981447587085,PLS
73,3,is_secondary,1,0.4173369658528052,PLS
74,4,is_secondary,1,0.4350607237611478,PLS
75,5,is_secondary,1,0.4473888296786775,PLS
76,6,is_secondary,1,0.508851836614371,PLS
77,7,is_secondary,1,0.48395331283832155,PLS
78,8,is_secondary,1,0.48803633383329065,PLS
79,9,is_secondary,1,0.5028653063075612,PLS
