,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.48154464084763077,ResidueAgnosticRegressor
1,1,is_buried,0,0.5406719066498157,ResidueAgnosticRegressor
2,2,is_buried,0,0.47404174096708857,ResidueAgnosticRegressor
3,3,is_buried,0,0.3406861896435311,ResidueAgnosticRegressor
4,4,is_buried,0,0.33038295735877155,ResidueAgnosticRegressor
5,5,is_buried,0,0.3418656186700369,ResidueAgnosticRegressor
6,6,is_buried,0,0.44789087792801374,ResidueAgnosticRegressor
7,7,is_buried,0,0.41996113294437426,ResidueAgnosticRegressor
8,8,is_buried,0,0.3419911358875366,ResidueAgnosticRegressor
9,9,is_buried,0,0.42095877841450113,ResidueAgnosticRegressor
10,0,is_buried,1,0.5123591177438065,ResidueAgnosticRegressor
11,1,is_buried,1,0.5939279963989543,ResidueAgnosticRegressor
12,2,is_buried,1,0.6253116289537924,ResidueAgnosticRegressor
13,3,is_buried,1,0.5039083464621458,ResidueAgnosticRegressor
14,4,is_buried,1,0.5423837018057167,ResidueAgnosticRegressor
15,5,is_buried,1,0.4847193608143903,ResidueAgnosticRegressor
16,6,is_buried,1,0.5668833642076834,ResidueAgnosticRegressor
17,7,is_buried,1,0.5201758106680979,ResidueAgnosticRegressor
18,8,is_buried,1,0.45388324301864585,ResidueAgnosticRegressor
19,9,is_buried,1,0.49533855023285617,ResidueAgnosticRegressor
20,0,is_connected,0,0.511067135012121,ResidueAgnosticRegressor
21,1,is_connected,0,0.5846152758832718,ResidueAgnosticRegressor
22,2,is_connected,0,0.5452855658663802,ResidueAgnosticRegressor
23,3,is_connected,0,0.41423270738068146,ResidueAgnosticRegressor
24,4,is_connected,0,0.434595840018093,ResidueAgnosticRegressor
25,5,is_connected,0,0.42632534931550414,ResidueAgnosticRegressor
26,6,is_connected,0,0.48377069919641535,ResidueAgnosticRegressor
27,7,is_connected,0,0.48473895866168165,ResidueAgnosticRegressor
28,8,is_connected,0,0.37484221611268564,ResidueAgnosticRegressor
29,9,is_connected,0,0.45169940137535247,ResidueAgnosticRegressor
30,0,is_connected,1,0.4864056180274679,ResidueAgnosticRegressor
31,1,is_connected,1,0.5205689141739633,ResidueAgnosticRegressor
32,2,is_connected,1,0.6090386239388418,ResidueAgnosticRegressor
33,3,is_connected,1,0.4679443530823592,ResidueAgnosticRegressor
34,4,is_connected,1,0.4628774612204987,ResidueAgnosticRegressor
35,5,is_connected,1,0.42628205698031024,ResidueAgnosticRegressor
36,6,is_connected,1,0.5684003733499267,ResidueAgnosticRegressor
37,7,is_connected,1,0.5145739810658252,ResidueAgnosticRegressor
38,8,is_connected,1,0.4958104804657985,ResidueAgnosticRegressor
39,9,is_connected,1,0.46576825636694963,ResidueAgnosticRegressor
40,0,is_close_to_as,0,0.4927611190941986,ResidueAgnosticRegressor
41,1,is_close_to_as,0,0.48054050310763324,ResidueAgnosticRegressor
42,2,is_close_to_as,0,0.4455082148854764,ResidueAgnosticRegressor
43,3,is_close_to_as,0,0.3345163691764339,ResidueAgnosticRegressor
44,4,is_close_to_as,0,0.41321133636883023,ResidueAgnosticRegressor
45,5,is_close_to_as,0,0.34458804383580616,ResidueAgnosticRegressor
46,6,is_close_to_as,0,0.43604464950399063,ResidueAgnosticRegressor
47,7,is_close_to_as,0,0.45268866536244184,ResidueAgnosticRegressor
48,8,is_close_to_as,0,0.3565944149166393,ResidueAgnosticRegressor
49,9,is_close_to_as,0,0.3714227593012587,ResidueAgnosticRegressor
50,0,is_close_to_as,1,0.44645392219663793,ResidueAgnosticRegressor
51,1,is_close_to_as,1,0.6029976974082859,ResidueAgnosticRegressor
52,2,is_close_to_as,1,0.6701775419400634,ResidueAgnosticRegressor
53,3,is_close_to_as,1,0.5217123145374908,ResidueAgnosticRegressor
54,4,is_close_to_as,1,0.4307491213794775,ResidueAgnosticRegressor
55,5,is_close_to_as,1,0.46370604733297555,ResidueAgnosticRegressor
56,6,is_close_to_as,1,0.5886411246342689,ResidueAgnosticRegressor
57,7,is_close_to_as,1,0.46414535759422454,ResidueAgnosticRegressor
58,8,is_close_to_as,1,0.41941578227523774,ResidueAgnosticRegressor
59,9,is_close_to_as,1,0.49808045220823743,ResidueAgnosticRegressor
60,0,is_secondary,0,0.48580901856763925,ResidueAgnosticRegressor
61,1,is_secondary,0,0.49913592154971465,ResidueAgnosticRegressor
62,2,is_secondary,0,0.577666586287276,ResidueAgnosticRegressor
63,3,is_secondary,0,0.4852423438630335,ResidueAgnosticRegressor
64,4,is_secondary,0,0.4893175789727514,ResidueAgnosticRegressor
65,5,is_secondary,0,0.41262760228277473,ResidueAgnosticRegressor
66,6,is_secondary,0,0.5483160517643276,ResidueAgnosticRegressor
67,7,is_secondary,0,0.5333172574551884,ResidueAgnosticRegressor
68,8,is_secondary,0,0.39936500281327864,ResidueAgnosticRegressor
69,9,is_secondary,0,0.3882605899847279,ResidueAgnosticRegressor
70,0,is_secondary,1,0.5508249296226349,ResidueAgnosticRegressor
71,1,is_secondary,1,0.6158746715992912,ResidueAgnosticRegressor
72,2,is_secondary,1,0.5938981447587085,ResidueAgnosticRegressor
73,3,is_secondary,1,0.41518596145685194,ResidueAgnosticRegressor
74,4,is_secondary,1,0.43494410304088527,ResidueAgnosticRegressor
75,5,is_secondary,1,0.4498767383776114,ResidueAgnosticRegressor
76,6,is_secondary,1,0.517039906962581,ResidueAgnosticRegressor
77,7,is_secondary,1,0.4809600476849167,ResidueAgnosticRegressor
78,8,is_secondary,1,0.4880907568360799,ResidueAgnosticRegressor
79,9,is_secondary,1,0.5028653063075612,ResidueAgnosticRegressor
