Unnamed: 0,fold,feature,belongs,spearman_val,model
0,0,is_buried,0,0.4606914700230259,RITARegressor
1,1,is_buried,0,0.4460167760253459,RITARegressor
2,2,is_buried,0,0.3959527189626219,RITARegressor
3,3,is_buried,0,0.421538754522948,RITARegressor
4,4,is_buried,0,0.3490612177767005,RITARegressor
5,5,is_buried,0,0.3673218088329496,RITARegressor
6,6,is_buried,0,0.2632269178165198,RITARegressor
7,7,is_buried,0,0.3208890947178892,RITARegressor
8,8,is_buried,0,0.2983522619068229,RITARegressor
9,9,is_buried,0,0.3893067987050085,RITARegressor
10,0,is_buried,1,0.5441128096812728,RITARegressor
11,1,is_buried,1,0.5711509496026732,RITARegressor
12,2,is_buried,1,0.5878274268104777,RITARegressor
13,3,is_buried,1,0.5438531188864459,RITARegressor
14,4,is_buried,1,0.5292584962171708,RITARegressor
15,5,is_buried,1,0.4304548051453403,RITARegressor
16,6,is_buried,1,0.4764871626183758,RITARegressor
17,7,is_buried,1,0.4140077214729662,RITARegressor
18,8,is_buried,1,0.4917504890843303,RITARegressor
19,9,is_buried,1,0.4060395422516923,RITARegressor
20,0,is_connected,0,0.4949459682948032,RITARegressor
21,1,is_connected,0,0.5351873970782594,RITARegressor
22,2,is_connected,0,0.4844308118537574,RITARegressor
23,3,is_connected,0,0.4782099214791047,RITARegressor
24,4,is_connected,0,0.4146822059353598,RITARegressor
25,5,is_connected,0,0.3441872627941,RITARegressor
26,6,is_connected,0,0.331833120127782,RITARegressor
27,7,is_connected,0,0.3684078846004339,RITARegressor
28,8,is_connected,0,0.3603508350354439,RITARegressor
29,9,is_connected,0,0.4056229724858824,RITARegressor
30,0,is_connected,1,0.5579359082625894,RITARegressor
31,1,is_connected,1,0.5504546868749723,RITARegressor
32,2,is_connected,1,0.6000213342815236,RITARegressor
33,3,is_connected,1,0.5642615227343437,RITARegressor
34,4,is_connected,1,0.4550797813236144,RITARegressor
35,5,is_connected,1,0.46231565847371,RITARegressor
36,6,is_connected,1,0.5034303746833193,RITARegressor
37,7,is_connected,1,0.469992444108627,RITARegressor
38,8,is_connected,1,0.4405475798924397,RITARegressor
39,9,is_connected,1,0.3918627494555313,RITARegressor
40,0,is_close_to_as,0,0.491776458163813,RITARegressor
41,1,is_close_to_as,0,0.4594233133082877,RITARegressor
42,2,is_close_to_as,0,0.4288815117466804,RITARegressor
43,3,is_close_to_as,0,0.4493711154585274,RITARegressor
44,4,is_close_to_as,0,0.4213050328076038,RITARegressor
45,5,is_close_to_as,0,0.3074955419746888,RITARegressor
46,6,is_close_to_as,0,0.247370630702377,RITARegressor
47,7,is_close_to_as,0,0.3148859091774728,RITARegressor
48,8,is_close_to_as,0,0.3292424819514898,RITARegressor
49,9,is_close_to_as,0,0.2995641522826821,RITARegressor
50,0,is_close_to_as,1,0.4659696854278839,RITARegressor
51,1,is_close_to_as,1,0.5383346894963731,RITARegressor
52,2,is_close_to_as,1,0.6403174287148768,RITARegressor
53,3,is_close_to_as,1,0.5642972767091983,RITARegressor
54,4,is_close_to_as,1,0.4091450113398314,RITARegressor
55,5,is_close_to_as,1,0.4146309793805509,RITARegressor
56,6,is_close_to_as,1,0.6042788386627655,RITARegressor
57,7,is_close_to_as,1,0.4422252904208722,RITARegressor
58,8,is_close_to_as,1,0.4230882429320822,RITARegressor
59,9,is_close_to_as,1,0.4121509322899534,RITARegressor
60,0,is_secondary,0,0.4893818824853307,RITARegressor
61,1,is_secondary,0,0.4392934651555341,RITARegressor
62,2,is_secondary,0,0.48521421107628,RITARegressor
63,3,is_secondary,0,0.4852785145888594,RITARegressor
64,4,is_secondary,0,0.4981512740133429,RITARegressor
65,5,is_secondary,0,0.3126316212523109,RITARegressor
66,6,is_secondary,0,0.4669158427779117,RITARegressor
67,7,is_secondary,0,0.3618439032232135,RITARegressor
68,8,is_secondary,0,0.4630978217185114,RITARegressor
69,9,is_secondary,0,0.4240937223695844,RITARegressor
70,0,is_secondary,1,0.5468831492777614,RITARegressor
71,1,is_secondary,1,0.6138817530685826,RITARegressor
72,2,is_secondary,1,0.5304992338666571,RITARegressor
73,3,is_secondary,1,0.4820290709539898,RITARegressor
74,4,is_secondary,1,0.3920937630590911,RITARegressor
75,5,is_secondary,1,0.4807099610292426,RITARegressor
76,6,is_secondary,1,0.3887571146738021,RITARegressor
77,7,is_secondary,1,0.4242953354951359,RITARegressor
78,8,is_secondary,1,0.4204092739388324,RITARegressor
79,9,is_secondary,1,0.4089610065663944,RITARegressor
