,dataset,model,fold,lambda_value,spearman
0,AMY_BACSU/combinatorials,Augmented Potts,0,0.001,0.6796850940304934
1,AMY_BACSU/combinatorials,Augmented Potts,0,0.01,0.6800996295151659
2,AMY_BACSU/combinatorials,Augmented Potts,0,0.1,0.6790770381537417
3,AMY_BACSU/combinatorials,Augmented Potts,0,0.9,0.676983093462033
4,AMY_BACSU/combinatorials,Augmented Potts,1,0.001,0.72848360499274
5,AMY_BACSU/combinatorials,Augmented Potts,1,0.01,0.7286002812218442
6,AMY_BACSU/combinatorials,Augmented Potts,1,0.1,0.7311901880112861
7,AMY_BACSU/combinatorials,Augmented Potts,1,0.9,0.7342431572568201
8,AMY_BACSU/combinatorials,Augmented Potts,2,0.001,0.6895939880157762
9,AMY_BACSU/combinatorials,Augmented Potts,2,0.01,0.6902081536094842
10,AMY_BACSU/combinatorials,Augmented Potts,2,0.1,0.6903023875498235
11,AMY_BACSU/combinatorials,Augmented Potts,2,0.9,0.6944410435106383
12,AMY_BACSU/combinatorials,Augmented Potts,3,0.001,0.7224902302755708
13,AMY_BACSU/combinatorials,Augmented Potts,3,0.01,0.7232893390712787
14,AMY_BACSU/combinatorials,Augmented Potts,3,0.1,0.7249143463708875
15,AMY_BACSU/combinatorials,Augmented Potts,3,0.9,0.7328842845583402
16,AMY_BACSU/combinatorials,Augmented Potts,4,0.001,0.6984697841643281
17,AMY_BACSU/combinatorials,Augmented Potts,4,0.01,0.6989517641125764
18,AMY_BACSU/combinatorials,Augmented Potts,4,0.1,0.6998889342898624
19,AMY_BACSU/combinatorials,Augmented Potts,4,0.9,0.6974704571385235
20,AMY_BACSU/combinatorials,Augmented Potts,5,0.001,0.6650314373629057
21,AMY_BACSU/combinatorials,Augmented Potts,5,0.01,0.6661083128799739
22,AMY_BACSU/combinatorials,Augmented Potts,5,0.1,0.6695041425928798
23,AMY_BACSU/combinatorials,Augmented Potts,5,0.9,0.6750533708438443
24,AMY_BACSU/combinatorials,Augmented Potts,6,0.001,0.7052265287962134
25,AMY_BACSU/combinatorials,Augmented Potts,6,0.01,0.7056017911200363
26,AMY_BACSU/combinatorials,Augmented Potts,6,0.1,0.7066398036653836
27,AMY_BACSU/combinatorials,Augmented Potts,6,0.9,0.7079218314844287
28,AMY_BACSU/combinatorials,Augmented Potts,7,0.001,0.6824841464120034
29,AMY_BACSU/combinatorials,Augmented Potts,7,0.01,0.6830276134068671
30,AMY_BACSU/combinatorials,Augmented Potts,7,0.1,0.6858035831158098
31,AMY_BACSU/combinatorials,Augmented Potts,7,0.9,0.6920510844765545
32,AMY_BACSU/combinatorials,Augmented Potts,8,0.001,0.634907723433343
33,AMY_BACSU/combinatorials,Augmented Potts,8,0.01,0.6353799995965632
34,AMY_BACSU/combinatorials,Augmented Potts,8,0.1,0.637012059033947
35,AMY_BACSU/combinatorials,Augmented Potts,8,0.9,0.6381494544990187
36,AMY_BACSU/combinatorials,Augmented Potts,9,0.001,0.6604049884558966
37,AMY_BACSU/combinatorials,Augmented Potts,9,0.01,0.6611339546452634
38,AMY_BACSU/combinatorials,Augmented Potts,9,0.1,0.6634775679141326
39,AMY_BACSU/combinatorials,Augmented Potts,9,0.9,0.6706761386476406
40,AMY_BACSU/singles,Augmented Potts,0,0.001,0.5718021978001693
41,AMY_BACSU/singles,Augmented Potts,0,0.01,0.5718152530957619
42,AMY_BACSU/singles,Augmented Potts,0,0.1,0.5719614905387542
43,AMY_BACSU/singles,Augmented Potts,0,0.9,0.5721061565109807
44,AMY_BACSU/singles,Augmented Potts,1,0.001,0.5941335212146366
45,AMY_BACSU/singles,Augmented Potts,1,0.01,0.5943327122483647
46,AMY_BACSU/singles,Augmented Potts,1,0.1,0.5942762299615967
47,AMY_BACSU/singles,Augmented Potts,1,0.9,0.5938856003648735
48,AMY_BACSU/singles,Augmented Potts,2,0.001,0.5874525346801323
49,AMY_BACSU/singles,Augmented Potts,2,0.01,0.587480109094133
50,AMY_BACSU/singles,Augmented Potts,2,0.1,0.5874626695995343
51,AMY_BACSU/singles,Augmented Potts,2,0.9,0.5874733477163091
52,AMY_BACSU/singles,Augmented Potts,3,0.001,0.5125329651707643
53,AMY_BACSU/singles,Augmented Potts,3,0.01,0.513661274820795
54,AMY_BACSU/singles,Augmented Potts,3,0.1,0.5138984634528606
55,AMY_BACSU/singles,Augmented Potts,3,0.9,0.5140005252696768
56,AMY_BACSU/singles,Augmented Potts,4,0.001,0.5358657555861178
57,AMY_BACSU/singles,Augmented Potts,4,0.01,0.5359580145874933
58,AMY_BACSU/singles,Augmented Potts,4,0.1,0.5360531695454129
59,AMY_BACSU/singles,Augmented Potts,4,0.9,0.5360655471870889
60,AMY_BACSU/singles,Augmented Potts,5,0.001,0.546238353918535
61,AMY_BACSU/singles,Augmented Potts,5,0.01,0.546265549069754
62,AMY_BACSU/singles,Augmented Potts,5,0.1,0.546460486105454
63,AMY_BACSU/singles,Augmented Potts,5,0.9,0.5464174150997853
64,AMY_BACSU/singles,Augmented Potts,6,0.001,0.503103411482789
65,AMY_BACSU/singles,Augmented Potts,6,0.01,0.504087282303024
66,AMY_BACSU/singles,Augmented Potts,6,0.1,0.504979950545949
67,AMY_BACSU/singles,Augmented Potts,6,0.9,0.5065907040238063
68,AMY_BACSU/singles,Augmented Potts,7,0.001,0.57443872310665
69,AMY_BACSU/singles,Augmented Potts,7,0.01,0.5744586453071593
70,AMY_BACSU/singles,Augmented Potts,7,0.1,0.5747513851259172
71,AMY_BACSU/singles,Augmented Potts,7,0.9,0.5751958509636343
72,AMY_BACSU/singles,Augmented Potts,8,0.001,0.5894699420065281
