,dataset,model,fold,lambda_value,spearman
0,AMY_BACSU/combinatorials,RITA regressor,0,0.001,0.7133671596486124
1,AMY_BACSU/combinatorials,RITA regressor,0,0.01,0.7407715036468108
2,AMY_BACSU/combinatorials,RITA regressor,0,0.1,0.7302169461123228
3,AMY_BACSU/combinatorials,RITA regressor,0,0.9,0.7215945375319035
4,AMY_BACSU/combinatorials,RITA regressor,1,0.001,0.7276016595993297
5,AMY_BACSU/combinatorials,RITA regressor,1,0.01,0.758986625238609
6,AMY_BACSU/combinatorials,RITA regressor,1,0.1,0.7650432142672163
7,AMY_BACSU/combinatorials,RITA regressor,1,0.9,0.7477590350351291
8,AMY_BACSU/combinatorials,RITA regressor,2,0.001,0.6954064126550625
9,AMY_BACSU/combinatorials,RITA regressor,2,0.01,0.7256653773930116
10,AMY_BACSU/combinatorials,RITA regressor,2,0.1,0.7429815101731027
11,AMY_BACSU/combinatorials,RITA regressor,2,0.9,0.7268698563486461
12,AMY_BACSU/combinatorials,RITA regressor,3,0.001,0.7196806008794574
13,AMY_BACSU/combinatorials,RITA regressor,3,0.01,0.7642880499928429
14,AMY_BACSU/combinatorials,RITA regressor,3,0.1,0.7684665394786485
15,AMY_BACSU/combinatorials,RITA regressor,3,0.9,0.7594388778124481
16,AMY_BACSU/combinatorials,RITA regressor,4,0.001,0.701593488924001
17,AMY_BACSU/combinatorials,RITA regressor,4,0.01,0.7416850087148025
18,AMY_BACSU/combinatorials,RITA regressor,4,0.1,0.7552356716869308
19,AMY_BACSU/combinatorials,RITA regressor,4,0.9,0.7314424060700705
20,AMY_BACSU/combinatorials,RITA regressor,5,0.001,0.706553125330337
21,AMY_BACSU/combinatorials,RITA regressor,5,0.01,0.7337022557283976
22,AMY_BACSU/combinatorials,RITA regressor,5,0.1,0.7318138167420019
23,AMY_BACSU/combinatorials,RITA regressor,5,0.9,0.7018275629140311
24,AMY_BACSU/combinatorials,RITA regressor,6,0.001,0.7119813690790417
25,AMY_BACSU/combinatorials,RITA regressor,6,0.01,0.7424227482889286
26,AMY_BACSU/combinatorials,RITA regressor,6,0.1,0.7538139972260347
27,AMY_BACSU/combinatorials,RITA regressor,6,0.9,0.7480392454745542
28,AMY_BACSU/combinatorials,RITA regressor,7,0.001,0.7183145889739754
29,AMY_BACSU/combinatorials,RITA regressor,7,0.01,0.7487122568514609
30,AMY_BACSU/combinatorials,RITA regressor,7,0.1,0.7589415897362556
31,AMY_BACSU/combinatorials,RITA regressor,7,0.9,0.7499659740863425
32,AMY_BACSU/combinatorials,RITA regressor,8,0.001,0.6127608498109091
33,AMY_BACSU/combinatorials,RITA regressor,8,0.01,0.6567308622290698
34,AMY_BACSU/combinatorials,RITA regressor,8,0.1,0.6632080462975546
35,AMY_BACSU/combinatorials,RITA regressor,8,0.9,0.6448186525280202
36,AMY_BACSU/combinatorials,RITA regressor,9,0.001,0.7118288504901583
37,AMY_BACSU/combinatorials,RITA regressor,9,0.01,0.7195907886589324
38,AMY_BACSU/combinatorials,RITA regressor,9,0.1,0.7216267767744404
39,AMY_BACSU/combinatorials,RITA regressor,9,0.9,0.696381495465306
40,AMY_BACSU/singles,RITA regressor,0,0.001,0.44816165823007664
41,AMY_BACSU/singles,RITA regressor,0,0.01,0.5773779701777328
42,AMY_BACSU/singles,RITA regressor,0,0.1,0.6097738205339591
43,AMY_BACSU/singles,RITA regressor,0,0.9,0.5403691586725988
44,AMY_BACSU/singles,RITA regressor,1,0.001,0.4070905682849023
45,AMY_BACSU/singles,RITA regressor,1,0.01,0.5484157461345526
46,AMY_BACSU/singles,RITA regressor,1,0.1,0.5900594386941815
47,AMY_BACSU/singles,RITA regressor,1,0.9,0.5509497537568833
48,AMY_BACSU/singles,RITA regressor,2,0.001,0.3818032576591621
49,AMY_BACSU/singles,RITA regressor,2,0.01,0.5164863730575225
50,AMY_BACSU/singles,RITA regressor,2,0.1,0.5972494072522694
51,AMY_BACSU/singles,RITA regressor,2,0.9,0.548756510483551
52,AMY_BACSU/singles,RITA regressor,3,0.001,0.37188151154733196
53,AMY_BACSU/singles,RITA regressor,3,0.01,0.47924922539459563
54,AMY_BACSU/singles,RITA regressor,3,0.1,0.5281003941111221
55,AMY_BACSU/singles,RITA regressor,3,0.9,0.5067687634493734
56,AMY_BACSU/singles,RITA regressor,4,0.001,0.37034650371649935
57,AMY_BACSU/singles,RITA regressor,4,0.01,0.4859822295191209
58,AMY_BACSU/singles,RITA regressor,4,0.1,0.5422481759046087
59,AMY_BACSU/singles,RITA regressor,4,0.9,0.5226565023858296
60,AMY_BACSU/singles,RITA regressor,5,0.001,0.39029409807726506
61,AMY_BACSU/singles,RITA regressor,5,0.01,0.4965778133180165
62,AMY_BACSU/singles,RITA regressor,5,0.1,0.5472197504415419
63,AMY_BACSU/singles,RITA regressor,5,0.9,0.5299046889155493
64,AMY_BACSU/singles,RITA regressor,6,0.001,0.363812858501904
65,AMY_BACSU/singles,RITA regressor,6,0.01,0.49360493339463957
66,AMY_BACSU/singles,RITA regressor,6,0.1,0.5516072406482025
67,AMY_BACSU/singles,RITA regressor,6,0.9,0.5148967231137165
68,AMY_BACSU/singles,RITA regressor,7,0.001,0.3910976809951291
